candidate_quality_weight,scored_races,mae,rmse,brier,log_loss,winner_accuracy,mae_change_vs_zero,rmse_change_vs_zero,brier_change_vs_zero,log_loss_change_vs_zero,winner_accuracy_change_vs_zero
1.0,1740,10.526939986190447,17.853688493792838,0.04745440256776765,0.1641910569268658,0.9419540229885057,-0.10337338088726078,-0.0806073972053376,-0.0010412553728204044,-0.003103153489678906,0.002873563218390829
0.9,1740,10.534788471814025,17.860609424318703,0.047544949533720765,0.16446340238475846,0.9419540229885057,-0.09552489526368291,-0.07368646667947232,-0.0009507084068672914,-0.0028308080317862583,0.002873563218390829
0.8,1740,10.543159574731854,17.86778450965049,0.04763858173777528,0.16474427911649525,0.9413793103448276,-0.08715379234585363,-0.0665113813476843,-0.0008570762028127787,-0.0025499313000494628,0.0022988505747126853
0.7,1740,10.552166207416349,17.87521344373607,0.04773527427941272,0.16503365191372343,0.9425287356321839,-0.07814715966135921,-0.05908244726210654,-0.0007603836611753331,-0.0022605585028212805,0.0034482758620689724
0.6,1740,10.561583220108236,17.882895910212977,0.04783500199922404,0.16533148564450412,0.9425287356321839,-0.06873014696947166,-0.05139998078519881,-0.0006606559413640176,-0.001962724772040597,0.0034482758620689724
0.5,1740,10.571701488819105,17.890831582474696,0.047937739454711,0.16563774525713307,0.9425287356321839,-0.0586118782586027,-0.043464308523478934,-0.0005579184858770583,-0.0016564651594116464,0.0034482758620689724
0.4,1740,10.582500445094778,17.899020123738858,0.048043460888684185,0.16595239578191415,0.9425287356321839,-0.047812921982929524,-0.0352757672593178,-0.0004521970519038715,-0.001341814634630567,0.0034482758620689724
0.3,1740,10.59389198854057,17.907461187117395,0.048152140190907,0.16627540233096547,0.9419540229885057,-0.03642137853713834,-0.026834703880780353,-0.00034351774968105486,-0.001018808085579248,0.002873563218390829
0.2,1740,10.605604557986359,17.916154415688542,0.048263750853700126,0.16660673009615243,0.9402298850574713,-0.024708809091348982,-0.018141475309633392,-0.00023190708688793082,-0.0006874803203922863,0.0011494252873563982
0.1,1740,10.617715524477585,17.92509944257071,0.04837826592227306,0.16694634434526204,0.9402298850574713,-0.012597842600122533,-0.009196448427466919,-0.00011739201831499624,-0.00034786607128267644,0.0011494252873563982
0.0,1740,10.630313367077708,17.934295890998175,0.048495657940588056,0.16729421041654471,0.9390804597701149,0.0,0.0,0.0,0.0,0.0
