probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,95,0.033090970250089044,0.0,0.033090970250089044,0.0018470100765553327
10–20%,0.1,0.2,31,0.15184704207657013,0.0,0.15184704207657013,0.02385581120069007
20–30%,0.2,0.30000000000000004,18,0.2436642661300112,0.05555555555555555,0.18810871057445563,0.0876423999811851
30–40%,0.30000000000000004,0.4,16,0.3423414967497596,0.0,0.3423414967497596,0.1180043527481405
40–50%,0.4,0.5,14,0.45880300942990243,0.14285714285714285,0.3159458665727596,0.21913007463595102
50–60%,0.5,0.6000000000000001,10,0.5469442012622133,0.0,0.5469442012622133,0.29990051382657545
60–70%,0.6000000000000001,0.7000000000000001,10,0.6540193302289837,0.6,0.05401933022898375,0.2339463301908255
70–80%,0.7000000000000001,0.8,12,0.7399255276757025,0.4166666666666667,0.32325886100903584,0.35051675765423274
80–90%,0.8,0.9,14,0.8667334868766343,0.8571428571428571,0.009590629733777223,0.1154870663550182
90–100%,0.9,1.0,125,0.9803142276624538,0.984,-0.0036857723375461893,0.014560256957777276
