variant,uncertainty_spec,uncertainty_scale,mean_error_dem,mean_mae,mean_rmse,mean_winner_accuracy,mean_brier_score,mean_log_loss,mean_abs_expected_seat_error,mean_expected_seat_error
loo_bias_corrected,current_scale_1_00,1.0,0.021570212231663555,6.4008109001784534,8.490541525545412,0.9347798843774107,0.048286850943922426,0.25271218193070144,12.06532495072532,-8.116443354896667
uncorrected,current_scale_1_00,1.0,4.310379688597568,7.234500671306547,9.32863453386663,0.9321796406555336,0.046725019141772905,0.25818437378270664,12.278311756533078,12.278311756533078
loo_bias_corrected,compromise_scale_1_75,1.75,0.021570212231663555,6.4008109001784534,8.490541525545412,0.9347798843774107,0.04543692825605224,0.1638640704869678,12.703412106035302,-6.6954759458538575
uncorrected,compromise_scale_1_75,1.75,4.310379688597568,7.234500671306547,9.32863453386663,0.9321796406555336,0.04572434663889923,0.16988961495971608,13.439462897407829,13.439462897407829
