uncertainty_scale,marginal_normal_sd,brier_score,log_loss,best_brier,best_log_loss,distance_from_canonical_normal_equivalent
0.8,2.8425340807103794,0.04695194884984897,0.33321748376422955,False,False,8.947161786812037
0.8500000000000001,3.020192460754778,0.04669251714988714,0.3109452207160793,False,False,8.769503406767639
0.9000000000000001,3.197850840799177,0.0464567558335668,0.29102745361374366,False,False,8.59184502672324
0.9500000000000002,3.3755092208435755,0.0462429063461667,0.2724229344446357,False,False,8.414186646678841
1.0000000000000002,3.5531676008879747,0.04604962098270603,0.25667058486760136,False,False,8.236528266634442
1.0500000000000003,3.7308259809323734,0.04587585113382363,0.24324133348915417,False,False,8.058869886590044
1.1000000000000003,3.908484360976772,0.045720763773490596,0.23173288765849226,False,False,7.881211506545645
1.1500000000000004,4.086142741021171,0.045583679211425726,0.22182685524527548,False,False,7.703553126501245
1.2000000000000004,4.26380112106557,0.045464024703882513,0.21326888084766782,False,False,7.525894746456847
1.2500000000000004,4.441459501109969,0.04536129996439367,0.2058536981728795,False,False,7.348236366412448
1.3000000000000005,4.619117881154367,0.04527505171819984,0.19941411668414052,False,False,7.170577986368049
1.3500000000000005,4.796776261198766,0.045204855210090954,0.19381279679610083,False,False,6.9929196063236505
1.4000000000000006,4.974434641243166,0.0451503010913976,0.18893603501982942,False,False,6.815261226279251
1.4500000000000006,5.152093021287564,0.04511098646556571,0.18468901503526694,False,False,6.637602846234852
1.5000000000000007,5.329751401331963,0.04508650912660265,0.18099214091368093,False,False,6.4599444661904535
1.5500000000000007,5.507409781376362,0.04507646421891942,0.17777817831980686,True,False,6.282286086146055
1.6000000000000008,5.6850681614207605,0.045080442701236303,0.17499000547631766,False,False,6.104627706101656
1.6500000000000008,5.862726541465159,0.04509803112195541,0.17257882894198773,False,False,5.926969326057257
1.7000000000000008,6.040384921509559,0.045128812314880785,0.17050275708307133,False,False,5.749310946012858
1.7500000000000009,6.218043301553958,0.04517236670672781,0.16872565125731132,False,False,5.571652565968459
1.800000000000001,6.395701681598356,0.045228273995073065,0.16721619441316599,False,False,5.39399418592406
