house_environment_multiplier,mean_cycle_winner_accuracy,mean_cycle_winner_error_rate,mean_cycle_brier_score,mean_cycle_absolute_expected_seat_error,mean_cycle_expected_seat_error_rate,mean_cycle_absolute_deterministic_seat_error,mean_cycle_deterministic_seat_error_rate,mean_cycle_margin_mae,mean_cycle_margin_rmse,mean_cycle_margin_bias_dem,cycles,winner_error_rate_normalized_penalty,brier_score_normalized_penalty,expected_seat_error_rate_normalized_penalty,deterministic_seat_error_rate_normalized_penalty,margin_mae_normalized_penalty,majority_composite_score,composite_rank,winner_accuracy_rank,brier_rank,expected_seat_error_rank,deterministic_seat_error_rank,margin_mae_rank
0.96,0.945288797173754,0.054711202826245975,0.04437994243978238,8.878558016411787,0.02309305283193516,6.0,0.015543653756191093,6.139645132575486,8.02136472456039,0.8080800022701693,4,0.2210505297148036,0.018709893193567917,0.09930961781797967,0.0,0.5121540167671581,0.12751478310052708,11,10,10,30,1,47
0.92,0.9446526648582324,0.05534733514176762,0.04443847310619402,8.840419145405797,0.02301412921693154,6.25,0.016179786071712724,6.115946438682605,8.000367784526423,0.6865800022701696,4,0.2744555946669114,0.045781732941212926,0.08506993641670818,0.048740332377722385,0.34884801081244005,0.14927232904934423,12,12,14,25,8,39
0.93,0.9446526648582324,0.05534733514176762,0.04442145511915726,8.849982277872982,0.02303394231176246,6.25,0.016179786071712724,6.121460436325475,8.00525140383584,0.71695500227017,4,0.2744555946669114,0.03791050498275155,0.08864468597617225,0.048740332377722385,0.3868445745037135,0.14991930015618538,13,12,13,26,8,41
0.94,0.9446526648582324,0.05534733514176762,0.04440602336560025,8.859526636109202,0.023053701025677196,6.25,0.016179786071712724,6.127185424625648,8.010379130212678,0.747330002270169,4,0.2744555946669114,0.030772948126957335,0.09220962393589176,0.048740332377722385,0.4262950597357115,0.15082042279578062,14,12,12,28,8,43
0.91,0.9440165325427108,0.05598346745728924,0.04445707130443741,8.830836630396519,0.022994260246092434,6.5,0.01681591838723435,6.1108493029776,7.995728783229948,0.6562050022701695,4,0.3278606596190168,0.054383846556305154,0.08148510550764436,0.09748066475544451,0.31372401294336183,0.17495251396774578,15,15,15,24,15,38
0.9,0.9440165325427108,0.05598346745728924,0.04447724365265483,8.821234657486166,0.022974335214230902,6.5,0.01681591838723435,6.106189670234526,7.9913348838905645,0.6258300022701692,4,0.3278606596190168,0.06371404236229873,0.07789015986804868,0.09748066475544451,0.28161481671817085,0.17496061398006552,16,15,16,23,15,36
0.89,0.9434022819284602,0.05659771807153985,0.04449898405168786,8.811612618424718,0.022954352627624092,6.75,0.017430169001484967,6.1017180034152005,7.987186543592721,0.5954550022701696,4,0.3794286953098704,0.07376949935185037,0.07428482999509188,0.14454442550346633,0.2508008802402765,0.20032109203296938,17,17,17,22,17,34
0.88,0.9434022819284602,0.05659771807153985,0.04452228636368089,8.801970890504109,0.022934313414626994,6.75,0.017430169001484967,6.097384442723575,7.983284192705305,0.5650800022701695,4,0.3794286953098704,0.08454737861924873,0.07066928338590757,0.14454442550346633,0.22093862321841157,0.20079933967688884,18,17,18,21,17,32
0.87,0.9434022819284602,0.05659771807153985,0.04454714441468802,8.79230948437754,0.022914217603354013,6.75,0.017430169001484967,6.093299095708257,7.979628235026594,0.5347050022701695,4,0.3794286953098704,0.09604482456614624,0.06704352511299773,0.14454442550346633,0.1927867889010374,0.20154095779316258,19,17,19,20,17,30
0.86,0.9434022819284602,0.05659771807153985,0.04457355199595128,8.782627836168565,0.02289406376742926,6.75,0.017430169001484967,6.089356496973779,7.976219047928387,0.504330002270169,4,0.3794286953098704,0.10825896549278928,0.06340729782451379,0.14454442550346633,0.16561862278521688,0.2025088392613355,20,17,20,19,17,28
