cycle,house_environment_multiplier,districts,actual_dem_seats,deterministic_dem_seats,expected_dem_seats,deterministic_seat_error,absolute_deterministic_seat_error,deterministic_seat_error_rate,expected_seat_error,absolute_expected_seat_error,expected_seat_error_rate,winner_accuracy,winner_error_rate,brier_score,margin_mae,margin_rmse,margin_bias_dem
2016,0.5,345,149,152,156.9567766458672,3,3,0.008695652173913044,7.956776645867194,7.956776645867194,0.023063120712658532,0.9391304347826087,0.060869565217391286,0.04220024960714221,8.760403463453043,10.933165392768705,0.7173361645823186
2016,0.51,345,149,152,156.97784264530253,3,3,0.008695652173913044,7.97784264530253,7.97784264530253,0.023124181580587044,0.9391304347826087,0.060869565217391286,0.04220719505135961,8.76048172432261,10.933521020065438,0.7227361645823184
2016,0.52,345,149,152,156.9989108509,3,3,0.008695652173913044,7.998910850899989,7.998910850899989,0.023185248843188375,0.9391304347826087,0.060869565217391286,0.04221416238931471,8.760559985192172,10.933879302735615,0.7281361645823183
2016,0.53,345,149,152,157.01998126328738,3,3,0.008695652173913044,8.019981263287377,8.019981263287377,0.023246322502282254,0.9391304347826087,0.060869565217391286,0.04222115162428708,8.76063824606174,10.93424024051821,0.7335361645823186
2016,0.54,345,149,152,157.04105388309173,3,3,0.008695652173913044,8.041053883091735,8.041053883091735,0.023307402559686188,0.9391304347826087,0.060869565217391286,0.04222816275955411,8.760716506931303,10.9346038331503,0.7389361645823187
2016,0.55,345,149,152,157.0621287109393,3,3,0.008695652173913044,8.062128710939305,8.062128710939305,0.023368489017215378,0.9391304347826087,0.060869565217391286,0.042235195798391065,8.760808245945798,10.934970080367059,0.7443361645823178
2016,0.56,345,149,152,157.0832057474556,3,3,0.008695652173913044,8.083205747455594,8.083205747455594,0.02342958187668288,0.9391304347826087,0.060869565217391286,0.04224225074407102,8.76091781116319,10.93533898190176,0.7497361645823183
2016,0.57,345,149,152,157.10428499326525,3,3,0.008695652173913044,8.104284993265253,8.104284993265253,0.023490681139899282,0.9391304347826087,0.060869565217391286,0.04224932759986486,8.76102737638058,10.935710537485788,0.7551361645823188
2016,0.58,345,149,152,157.1253664489922,3,3,0.008695652173913044,8.125366448992196,8.125366448992196,0.023551786808673033,0.9391304347826087,0.060869565217391286,0.04225642636904134,8.76113694159797,10.936084746848625,0.7605361645823183
2016,0.59,345,149,152,157.1464501152595,3,3,0.008695652173913044,8.146450115259512,8.146450115259512,0.02361289888481018,0.9391304347826087,0.060869565217391286,0.04226354705486698,8.761246506815361,10.936461609717865,0.7659361645823192
2016,0.6,345,149,153,157.16753599268947,4,4,0.011594202898550725,8.167535992689466,8.167535992689466,0.023674017370114393,0.936231884057971,0.06376811594202902,0.04227068966060612,8.761356072032754,10.936841125819198,0.7713361645823185
2016,0.61,345,149,153,157.18862408190353,4,4,0.011594202898550725,8.188624081903527,8.188624081903527,0.023735142266387035,0.936231884057971,0.06376811594202902,0.04227785418952091,8.761465637250145,10.93722329487643,0.7767361645823185
2016,0.62,345,149,153,157.2097143835225,4,4,0.011594202898550725,8.20971438352251,8.20971438352251,0.023796273575427563,0.936231884057971,0.06376811594202902,0.04228504064487129,8.761575202467535,10.937608116611472,0.7821361645823192
2016,0.63,345,149,153,157.23080689816624,4,4,0.011594202898550725,8.230806898166236,8.230806898166236,0.023857411299032568,0.936231884057971,0.06376811594202902,0.04229224902991499,8.761684767684928,10.93799559074434,0.7875361645823187
2016,0.64,345,149,153,157.25190162645384,4,4,0.011594202898550725,8.251901626453844,8.251901626453844,0.02391855543899665,0.936231884057971,0.06376811594202902,0.04229947934790751,8.76179433290232,10.938385716993167,0.7929361645823183
2016,0.65,345,149,153,157.27299856900365,4,4,0.011594202898550725,8.272998569003647,8.272998569003647,0.023979705997112022,0.936231884057971,0.06376811594202902,0.04230673160210213,8.761903898119709,10.938778495074192,0.7983361645823182
