holdout_cycle,training_cycles,selected_multiplier,training_best_numeric_multiplier,training_best_composite_score,selected_training_composite_score,heldout_districts,heldout_actual_dem_seats,heldout_deterministic_dem_seats,heldout_expected_dem_seats,heldout_deterministic_seat_error,heldout_expected_seat_error,heldout_winner_accuracy,heldout_brier_score,heldout_margin_mae,heldout_margin_bias_dem
2016,"2018,2020,2022",1.0,1.01,0.045425780332598545,0.06859420777748715,345,149,154,158.0127912881171,5.0,9.012791288117114,0.9391304347826087,0.042574405416252424,8.767181502061739,0.9873361645823184
2018,"2016,2020,2022",0.9,0.77,0.20591709250397633,0.24913257390592983,393,200,184,190.55165228299302,-16.0,-9.448347717006982,0.9389312977099237,0.04862207194163083,5.3986954730514,-1.3593891944473284
2020,"2016,2018,2022",1.02,1.05,0.0008655066132580542,0.015089184931301961,407,203,206,211.90874514762456,3.0,8.908745147624558,0.9484029484029484,0.045165981561018226,5.984844367350395,4.116867636319436
2022,"2016,2018,2020",1.0,1.01,0.04284112161574092,0.06740894222908463,400,204,199,192.18064915524792,-5.0,-11.81935084475208,0.9525,0.04198665573991549,4.62731911611825,-0.561094597373749
