probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,94,0.03202118810253273,0.0,0.03202118810253273,0.0017306072420221537
10–20%,0.1,0.2,31,0.1471377974552097,0.0,0.1471377974552097,0.02244972037804999
20–30%,0.2,0.30000000000000004,18,0.23992780042770898,0.05555555555555555,0.18437224487215342,0.08714261841286654
30–40%,0.30000000000000004,0.4,14,0.32985852515837605,0.0,0.32985852515837605,0.109146298784171
40–50%,0.4,0.5,18,0.45812065052175666,0.1111111111111111,0.34700953941064555,0.21790270638924136
50–60%,0.5,0.6000000000000001,9,0.5543140020449031,0.0,0.5543140020449031,0.3079369967677254
60–70%,0.6000000000000001,0.7000000000000001,9,0.6498967490253234,0.6666666666666666,-0.01676991764134328,0.21577761709367488
70–80%,0.7000000000000001,0.8,12,0.7363626549171366,0.4166666666666667,0.3196959882504699,0.3445096672660508
80–90%,0.8,0.9,15,0.8620706784402995,0.8,0.062070678440299454,0.15251544958335864
90–100%,0.9,1.0,125,0.9807229756192687,0.984,-0.003277024380731297,0.014629210502115141
