probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,95,0.032913304159452345,0.0,0.032913304159452345,0.00183172887768568
10–20%,0.1,0.2,30,0.14944608494804687,0.0,0.14944608494804687,0.023076365726381602
20–30%,0.2,0.30000000000000004,19,0.2423280329349185,0.05263157894736842,0.18969645398755008,0.0862822919868305
30–40%,0.30000000000000004,0.4,15,0.3401479106753779,0.0,0.3401479106753779,0.11645147201586084
40–50%,0.4,0.5,16,0.4611468214127247,0.125,0.3361468214127247,0.22088299031708847
50–60%,0.5,0.6000000000000001,9,0.5530674107531988,0.0,0.5530674107531988,0.3065145158426495
60–70%,0.6000000000000001,0.7000000000000001,10,0.6548228914555156,0.6,0.054822891455515665,0.2390182750883958
70–80%,0.7000000000000001,0.8,12,0.7422134936971546,0.4166666666666667,0.32554682703048793,0.35361515116277387
80–90%,0.8,0.9,14,0.8665361608322114,0.8571428571428571,0.009393303689354315,0.11638675093334658
90–100%,0.9,1.0,125,0.9805300353057225,0.984,-0.0034699646942775164,0.014593144135952887
