probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,94,0.03256148399549763,0.0,0.03256148399549763,0.0017774149050414675
10–20%,0.1,0.2,32,0.15104501976246262,0.0,0.15104501976246262,0.023687185831570222
20–30%,0.2,0.30000000000000004,18,0.2427236635624927,0.05555555555555555,0.18716810800693715,0.08646680743247931
30–40%,0.30000000000000004,0.4,17,0.3430869812377826,0.0,0.3430869812377826,0.11849581945539596
40–50%,0.4,0.5,13,0.46035977262344036,0.15384615384615385,0.3065136187772865,0.2204180812413809
50–60%,0.5,0.6000000000000001,11,0.5508976120840942,0.0,0.5508976120840942,0.3042699803961352
60–70%,0.6000000000000001,0.7000000000000001,8,0.654306544105786,0.5,0.15430654410578604,0.28107444703383855
70–80%,0.7000000000000001,0.8,13,0.7349287808134328,0.5384615384615384,0.1964672423518944,0.29666806697831877
80–90%,0.8,0.9,14,0.8668661527864095,0.8571428571428571,0.009723295643552454,0.11462064411838342
90–100%,0.9,1.0,125,0.9800743578324032,0.984,-0.003925642167596832,0.014531132857376653
