cycle,state,districts,winner_accuracy,mean_margin_error_dem_bias,mean_abs_margin_error,actual_dem_wins,predicted_dem_wins,expected_dem_wins
2018,CA,4,1.0,-3.3500000000000005,3.3500000000000005,4,4,2.2328506011207336
2018,GA,1,1.0,4.6,4.6,1,1,0.6432443753028397
2018,IA,2,1.0,0.6999999999999997,0.6999999999999997,2,2,1.2246967015709498
2018,KS,1,1.0,-1.4000000000000004,1.4000000000000004,1,1,0.7055117268717511
2018,ME,1,0.0,-4.200000000000001,4.200000000000001,1,0,0.41657677081024586
2018,MI,1,1.0,-6.1000000000000005,6.1000000000000005,1,1,0.5105247609307534
2018,NJ,3,1.0,5.0,7.666666666666667,3,3,2.10923900299391
2018,NM,1,1.0,0.2000000000000004,0.2000000000000004,0,0,0.4579939839306746
2018,NY,1,1.0,-3.8,3.8,1,1,0.5078940808352105
2018,OK,1,0.0,-5.200000000000001,5.200000000000001,1,0,0.401312339887548
2018,PA,1,0.0,7.6,7.6,0,1,0.628623419215673
2018,SC,1,0.0,-4.9,4.9,1,0,0.4089226059425453
2018,TX,1,1.0,0.7999999999999989,0.7999999999999989,1,1,0.6456563062257954
2018,VA,1,1.0,-1.4000000000000004,1.4000000000000004,1,1,0.5157842271984716
2022,AK,1,0.0,-21.0,21.0,1,0,0.24097007989940394
2022,AZ,2,1.0,-1.2999999999999998,1.2999999999999998,0,0,0.8562664203580517
2022,CA,3,0.0,12.4,12.4,0,3,2.1186222969278483
2022,CO,1,1.0,-12.400000000000002,12.400000000000002,0,0,0.20976942983731156
2022,ME,1,1.0,-1.0999999999999988,1.0999999999999988,0,0,0.31454679659664875
2022,MI,1,1.0,4.9,4.9,0,0,0.48684514179383936
2022,NC,1,1.0,-0.49999999999999956,0.49999999999999956,0,0,0.3937493566129614
2022,NM,1,1.0,2.5,2.5,1,1,0.5834232291897541
2022,NY,2,0.0,6.35,6.35,0,2,1.2614106220488899
2022,OH,2,1.0,-3.0500000000000003,3.0500000000000003,2,2,1.1113921129728304
2022,OR,1,0.0,8.100000000000001,8.100000000000001,0,1,0.6528473974592716
2022,PA,1,0.0,-2.6999999999999997,2.6999999999999997,1,0,0.4815872773940592
2022,TX,1,1.0,4.399999999999999,4.399999999999999,1,1,0.7954173242392399
2022,VA,1,0.0,4.9,4.9,0,1,0.5262915173930184
2022,WA,1,0.0,-6.8,6.8,1,0,0.3471526025407285
