cycle,districts,winner_accuracy,mean_abs_margin_error,median_abs_margin_error,mean_margin_error_dem_bias,brier_score,actual_dem_seats,predicted_dem_seats,expected_dem_seats,tested_total_error_sd
2018,21,0.7619047619047619,3.7857142857142865,3.8,-0.4428571428571431,0.195580679196921,18,17,12.702581866657209,5.5
2022,20,0.5,6.395,4.9,1.0750000000000002,0.3332575946831889,7,11,10.597811315298184,5.5
2018,21,0.7619047619047619,3.7857142857142865,3.8,-0.4428571428571431,0.198051447305786,18,17,12.43877205942567,6.5
2022,20,0.5,6.395,4.9,1.0750000000000002,0.3176791089601471,7,11,10.526092296190836,6.5
2018,21,0.7619047619047619,3.7857142857142865,3.8,-0.4428571428571431,0.2008785440864857,18,17,12.226215234147473,7.5
2022,20,0.5,6.395,4.9,1.0750000000000002,0.3058795645566176,7,11,10.467670197389186,7.5
2018,21,0.7619047619047619,3.7857142857142865,3.8,-0.4428571428571431,0.2037215167239054,18,17,12.052601802732134,8.5
2022,20,0.5,6.395,4.9,1.0750000000000002,0.2968622313507599,7,11,10.41984647476082,8.5
2018,21,0.7619047619047619,3.7857142857142865,3.8,-0.4428571428571431,0.2064327402949921,18,17,11.908830902837105,9.5
2022,20,0.5,6.395,4.9,1.0750000000000002,0.2898756806226393,7,11,10.380291605263857,9.5
