cycle,environment_multiplier,districts,winner_accuracy,mean_abs_margin_error,median_abs_margin_error,mean_margin_error_dem_bias,brier_score,actual_dem_seats,predicted_dem_seats,expected_dem_seats
2018,1.0,21,0.7619047619047619,3.7857142857142865,3.8,-0.44285714285714317,0.19805144730578605,18,17,12.43877205942567
2022,1.0,20,0.5,6.395,4.9,1.0750000000000002,0.3176791089601471,7,11,10.526092296190836
