cycle,state,districts,winner_accuracy,mean_margin_error_dem_bias,mean_abs_margin_error,actual_dem_wins,predicted_dem_wins,expected_dem_wins,tested_environment_multiplier,tested_total_error_sd
2022,WA,1,0.0,-6.1,6.1,1,0,0.330335802922225,0.75,7.5
2018,CA,4,0.25,-5.500000000000002,5.500000000000002,4,1,2.0109555715159555,0.75,8.5
2018,GA,1,1.0,2.4499999999999993,2.4499999999999993,1,1,0.6001001345804066,0.75,8.5
2018,IA,2,1.0,-1.4500000000000006,1.4500000000000006,2,2,1.1284481086021962,0.75,8.5
2018,KS,1,1.0,-3.55,3.55,1,1,0.673383743611613,0.75,8.5
2018,ME,1,0.0,-6.350000000000001,6.350000000000001,1,0,0.3476439303356886,0.75,8.5
2018,MI,1,0.0,-8.25,8.25,1,0,0.4487104537264346,0.75,8.5
2018,NJ,3,1.0,2.849999999999999,6.949999999999999,3,3,2.0127972689617617,0.75,8.5
2018,NM,1,1.0,-1.95,1.95,0,0,0.3914606755941183,0.75,8.5
2018,NY,1,0.0,-5.95,5.95,1,0,0.4458020142147238,0.75,8.5
2018,OK,1,0.0,-7.350000000000001,7.350000000000001,1,0,0.3318122278318338,0.75,8.5
2018,PA,1,0.0,5.449999999999999,5.449999999999999,0,1,0.5830469568892228,0.75,8.5
2018,SC,1,0.0,-7.050000000000001,7.050000000000001,1,0,0.3396832939727048,0.75,8.5
2018,TX,1,1.0,-1.3500000000000014,1.3500000000000014,1,1,0.6029200748394254,0.75,8.5
2018,VA,1,0.0,-3.5500000000000007,3.5500000000000007,1,0,0.4545376733046921,0.75,8.5
2022,AK,1,0.0,-20.299999999999997,20.299999999999997,1,0,0.2314752165009823,0.75,8.5
2022,AZ,2,1.0,-0.5999999999999995,0.5999999999999995,0,0,0.8799939200668276,0.75,8.5
2022,CA,3,0.0,13.1,13.1,0,3,2.2295113536202273,0.75,8.5
2022,CO,1,1.0,-11.7,11.7,0,0,0.1978161114414182,0.75,8.5
2022,ME,1,1.0,-0.3999999999999994,0.3999999999999994,0,0,0.312547711531562,0.75,8.5
2022,MI,1,0.0,5.6000000000000005,5.6000000000000005,0,1,0.5058820815673682,0.75,8.5
2022,NC,1,1.0,0.2000000000000006,0.2000000000000006,0,0,0.401312339887548,0.75,8.5
2022,NM,1,1.0,3.2,3.2,1,1,0.6127350475344939,0.75,8.5
2022,NY,2,0.0,7.05,7.05,0,2,1.3243645589656916,0.75,8.5
