cycle,environment_multiplier,districts,winner_accuracy,mean_abs_margin_error,median_abs_margin_error,mean_margin_error_dem_bias,brier_score,actual_dem_seats,predicted_dem_seats,expected_dem_seats,tested_environment_multiplier,tested_total_error_sd
2018,0.75,21,0.4761904761904761,4.7857142857142865,4.849999999999999,-2.490476190476192,0.2472556206049482,18,11,10.956420547980102,0.75,6.5
2022,0.75,20,0.5,6.414999999999999,5.35,1.7750000000000008,0.3255108807222546,7,13,10.958027514799127,0.75,6.5
2018,0.75,21,0.4761904761904761,4.7857142857142865,4.849999999999999,-2.490476190476192,0.2450474184757748,18,11,10.91010035008,0.75,7.5
2022,0.75,20,0.5,6.414999999999999,5.35,1.7750000000000008,0.3129415759522476,7,13,10.859797895990567,0.75,7.5
2018,0.75,21,0.4761904761904761,4.7857142857142865,4.849999999999999,-2.490476190476192,0.2437683686110082,18,11,10.87130212798078,0.75,8.5
2022,0.75,20,0.5,6.414999999999999,5.35,1.7750000000000008,0.3032443342445182,7,13,10.777689123330202,0.75,8.5
2018,0.75,21,0.4761904761904761,4.7857142857142865,4.849999999999999,-2.490476190476192,0.2430455652017063,18,11,10.838572933659645,0.75,9.5
2022,0.75,20,0.5,6.414999999999999,5.35,1.7750000000000008,0.2956699276524007,7,13,10.70858861951661,0.75,9.5
2018,0.85,21,0.5714285714285714,4.304761904761905,4.49,-1.671428571428572,0.2262947954944587,18,13,11.554687002816888,0.85,6.5
2022,0.85,20,0.5,6.394999999999999,5.1000000000000005,1.4950000000000006,0.3223148443430123,7,11,10.785600779936502,0.85,6.5
2018,0.85,21,0.5714285714285714,4.304761904761905,4.49,-1.671428571428572,0.2263555643484695,18,13,11.4403793433087,0.85,7.5
2022,0.85,20,0.5,6.394999999999999,5.1000000000000005,1.4950000000000006,0.3100588055713047,7,11,10.70320317271175,0.85,7.5
2018,0.85,21,0.5714285714285714,4.304761904761905,4.49,-1.671428571428572,0.2269164730292685,18,13,11.346654162898972,0.85,8.5
2022,0.85,20,0.5,6.394999999999999,5.1000000000000005,1.4950000000000006,0.3006390890965319,7,11,10.634744309491191,0.85,8.5
2018,0.85,21,0.5714285714285714,4.304761904761905,4.49,-1.671428571428572,0.2277125448945179,18,13,11.268817980870692,0.85,9.5
2022,0.85,20,0.5,6.394999999999999,5.1000000000000005,1.4950000000000006,0.2933052397432342,7,11,10.577416568221617,0.85,9.5
2018,0.95,21,0.6190476190476191,3.930476190476191,4.17,-0.8523809523809527,0.2070263927322687,18,14,12.146492899316954,0.95,6.5
2022,0.95,20,0.5,6.395,5.040000000000001,1.215,0.3192028964016434,7,11,10.612696515773848,0.95,6.5
2018,0.95,21,0.6190476190476191,3.930476190476191,4.17,-0.8523809523809527,0.2090197377111696,18,14,11.966002593279516,0.95,7.5
2022,0.95,20,0.5,6.395,5.040000000000001,1.215,0.3072530432682301,7,11,10.54625555866084,0.95,7.5
2018,0.95,21,0.6190476190476191,3.930476190476191,4.17,-0.8523809523809527,0.2111680458425169,18,14,11.81856261368331,0.95,8.5
2022,0.95,20,0.5,6.395,5.040000000000001,1.215,0.2981034977171614,7,11,10.491534538496383,0.95,8.5
2018,0.95,21,0.6190476190476191,3.930476190476191,4.17,-0.8523809523809527,0.2132909320678951,18,14,11.696456716249395,0.95,9.5
2022,0.95,20,0.5,6.395,5.040000000000001,1.215,0.2910030345248145,7,11,10.446042047797,0.95,9.5
2018,1.0,21,0.7619047619047619,3.7857142857142865,3.8,-0.4428571428571431,0.198051447305786,18,17,12.43877205942567,1.0,6.5
2022,1.0,20,0.5,6.395,4.9,1.0750000000000002,0.3176791089601471,7,11,10.526092296190836,1.0,6.5
2018,1.0,21,0.7619047619047619,3.7857142857142865,3.8,-0.4428571428571431,0.2008785440864857,18,17,12.226215234147473,1.0,7.5
2022,1.0,20,0.5,6.395,4.9,1.0750000000000002,0.3058795645566176,7,11,10.467670197389186,1.0,7.5
2018,1.0,21,0.7619047619047619,3.7857142857142865,3.8,-0.4428571428571431,0.2037215167239054,18,17,12.052601802732134,1.0,8.5
2022,1.0,20,0.5,6.395,4.9,1.0750000000000002,0.2968622313507599,7,11,10.41984647476082,1.0,8.5
2018,1.0,21,0.7619047619047619,3.7857142857142865,3.8,-0.4428571428571431,0.2064327402949921,18,17,11.908830902837105,1.0,9.5
2022,1.0,20,0.5,6.395,4.9,1.0750000000000002,0.2898756806226393,7,11,10.380291605263857,1.0,9.5
