probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,108,0.026440502572120567,0.018518518518518517,0.00792198405360205,0.018039430862655755
10–20%,0.1,0.2,27,0.14928633848002282,0.0,0.14928633848002282,0.023197680210076347
20–30%,0.2,0.30000000000000004,24,0.24732819023330865,0.125,0.12232819023330865,0.11804316460413515
30–40%,0.30000000000000004,0.4,18,0.35408615198859367,0.16666666666666666,0.187419485321927,0.16919746203530017
40–50%,0.4,0.5,18,0.43630075223370524,0.1111111111111111,0.32518964112259413,0.21023425940279722
50–60%,0.5,0.6000000000000001,8,0.5426915681785692,0.625,-0.08230843182143077,0.24885921517192072
60–70%,0.6000000000000001,0.7000000000000001,11,0.6386623461867657,0.8181818181818182,-0.17951947199505258,0.18534913816950818
70–80%,0.7000000000000001,0.8,14,0.7490118808663085,0.9285714285714286,-0.17955954770512006,0.09315406925963865
80–90%,0.8,0.9,20,0.8493176020493441,0.9,-0.05068239795065588,0.08908291081550405
90–100%,0.9,1.0,145,0.984236937256841,1.0,-0.015763062743158973,0.0008072785403251986
