held_out_cycle,training_selected_brier_scale,training_selected_log_loss_scale
2016,1.3500000000000005,2.200000000000001
2018,1.7000000000000008,2.3000000000000016
2020,1.7500000000000009,2.1000000000000014
2022,1.4500000000000006,2.3000000000000016
