probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,108,0.026419359073154222,0.018518518518518517,0.007900840554635705,0.0180804395920591
10–20%,0.1,0.2,27,0.1496482362691465,0.0,0.1496482362691465,0.023291301047124426
20–30%,0.2,0.30000000000000004,24,0.24688936567457562,0.125,0.12188936567457562,0.11817868705275225
30–40%,0.30000000000000004,0.4,18,0.3544687248478595,0.16666666666666666,0.18780205818119286,0.1692081764042371
40–50%,0.4,0.5,18,0.43785659284695927,0.1111111111111111,0.32674548173584816,0.21133212511026192
50–60%,0.5,0.6000000000000001,9,0.5471683754920305,0.5555555555555556,-0.008387180063525124,0.2589104313569582
60–70%,0.6000000000000001,0.7000000000000001,10,0.6430771086017553,0.9,-0.25692289139824476,0.1671303695435097
70–80%,0.7000000000000001,0.8,14,0.745888791674958,0.9285714285714286,-0.18268263689647057,0.0948416974849132
80–90%,0.8,0.9,19,0.8463057982338151,0.8947368421052632,-0.04843104387144803,0.09339357191545537
90–100%,0.9,1.0,146,0.9836084780804697,1.0,-0.016391521919530305,0.0008768962258774725
