house_environment_multiplier,average_scenario_joint_rank,median_scenario_joint_rank,worst_scenario_joint_rank,average_rank_position,worst_rank_position,scenarios_won,average_weighted_mae,average_weighted_brier,average_weighted_seat_error,average_weighted_absolute_bias
0.9,2.65,2.4166666666666665,4.083333333333333,2.0,5,3,5.598912954843272,0.045873818695424964,9.03990198198349,1.2201466836768071
0.95,2.8833333333333333,2.5833333333333335,5.083333333333333,3.2,7,2,5.629121954322602,0.04582879992031944,8.519116016543276,1.113084183676807
0.85,2.9666666666666663,2.6666666666666665,3.8333333333333335,2.8,4,0,5.5804585082113745,0.04598459092674796,9.555418061873535,1.3272091836768067
0.8,3.5333333333333337,3.6666666666666665,3.8333333333333335,3.2,4,0,5.576134676312558,0.04615981104920187,10.065656594319618,1.4342716836768064
0.75,4.333333333333334,4.666666666666667,5.0,4.2,5,1,5.583342340719936,0.04639811633477798,10.570585687620838,1.5413341836768066
0.7,5.3,5.666666666666667,6.0,5.2,6,0,5.601271495295553,0.04669809464378801,11.339229527338492,1.648396683676807
0.65,6.333333333333333,6.833333333333333,7.0,6.8,7,0,5.632263625943969,0.047058291740285293,12.108124646401146,1.755459183676806
