scenario,house_environment_multiplier,weighted_mae,weighted_rmse,weighted_brier,weighted_winner_accuracy,weighted_cycle_bias,weighted_absolute_cycle_bias,weighted_seat_error,worst_cycle_mae,worst_cycle_seat_error,weighted_mae_rank,weighted_rmse_rank,weighted_brier_rank,weighted_absolute_cycle_bias_rank,weighted_seat_error_rank,weighted_winner_accuracy_rank,scenario_joint_rank,scenario_joint_rank_position
equal_weight,0.75,6.040287924484751,7.928585099043398,0.04551296222598984,0.9437011949719384,0.30301750227016905,1.654134398180708,9.241024000632457,8.82559999039797,13.976341168585575,3.0,3.0,5.0,3.0,1.0,5.0,3.3333333333333335,1
equal_weight,0.7,6.032937104751572,7.92328723663351,0.04566646561136705,0.9404539097299635,0.1422883356035025,1.628446898180708,9.74450449673629,8.815496792484927,13.53509670506878,1.0,1.0,6.0,2.0,6.0,6.0,3.6666666666666665,2
equal_weight,0.8,6.055469213111008,7.9416153858669105,0.04540384150867618,0.9443480766732095,0.46374666893683597,1.6798218981807078,9.320941832988986,8.83755367455256,14.417694109356376,4.0,4.0,4.0,4.0,2.0,4.0,3.6666666666666665,2
equal_weight,0.85,6.07823083985536,7.962409459002951,0.04534004694841257,0.9462234596029817,0.6244758356035026,1.7055093981807081,9.39942989785986,8.850109713199904,14.859153801482536,5.0,5.0,2.0,5.0,3.0,3.0,3.8333333333333335,4
equal_weight,0.9,6.1104682532114785,7.9909622594375715,0.04532249309013533,0.9481318565495465,0.7852050022701688,1.7311968981807082,9.47651593658449,8.862665751847246,15.300718428057678,6.0,6.0,1.0,6.0,4.0,1.5,4.083333333333333,5
equal_weight,0.65,6.035760940646831,7.925656841233511,0.04586338361124062,0.9398396591157129,-0.018440831063164104,1.6027593981807078,10.258594949450881,8.807025940697487,13.966375882027592,2.0,2.0,7.0,1.0,7.0,7.0,4.333333333333333,6
equal_weight,0.95,6.150989551146664,8.027230260073315,0.04535206088574615,0.9481318565495465,0.9459341689368359,1.7568843981807083,9.552214502229575,8.875467951924541,15.742390136576432,7.0,7.0,3.0,7.0,5.0,1.5,5.083333333333333,7
extreme_2018_stress_test,0.95,5.351294424646047,7.206956998977529,0.046492929463497625,0.9510122950697129,-0.25027405362103594,0.5205559103327904,6.431728291033908,8.875467951924541,15.742390136576432,4.0,1.0,1.0,1.0,1.0,1.5,1.5833333333333333,1
extreme_2018_stress_test,0.9,5.32803518641801,7.210188384182574,0.04665524169077608,0.9510122950697129,-0.5209157202877027,0.7725559103327905,7.603995733711789,8.862665751847246,15.300718428057678,2.0,2.0,2.0,2.0,2.0,1.5,1.9166666666666667,2
extreme_2018_stress_test,0.85,5.3212063794553845,7.22848306797527,0.04690847495429119,0.9452871042300184,-0.7915573869543687,1.02455591033279,8.766906097809686,8.850109713199904,14.859153801482536,1.0,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,3
extreme_2018_stress_test,0.8,5.334676506270946,7.261652168554452,0.047250751222363996,0.9428172822220284,-1.062199053621035,1.2765559103327895,9.920456376971352,8.83755367455256,14.417694109356376,3.0,4.0,4.0,4.0,4.0,4.0,3.8333333333333335,4
extreme_2018_stress_test,0.75,5.364643835173089,7.309402216357835,0.04768010639657494,0.9404703103368885,-1.3328407202877022,1.5285559103327901,11.064605484154457,8.82559999039797,13.976341168585575,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5
extreme_2018_stress_test,0.7,5.409220919125628,7.371346265694255,0.048194501921679185,0.9346112306676528,-1.603482386954369,1.7805559103327901,12.257842409233959,8.815496792484927,13.53509670506878,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6
extreme_2018_stress_test,0.65,5.471198343148545,7.447017588401497,0.04879183574881322,0.9345498056062276,-1.874124053621035,2.03255591033279,13.442925782128762,8.807025940697487,13.966375882027592,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7
midterm_emphasis,0.9,5.689220216983686,7.5173566320832474,0.04548124499104821,0.949209902733799,0.09272624299788551,1.4171148972726408,9.84363074139485,8.862665751847246,15.300718428057678,6.0,5.0,1.0,2.0,2.0,1.5,2.9166666666666665,1
midterm_emphasis,0.8,5.653299749810894,7.496596081186767,0.04560977929181408,0.9444040113983276,-0.20818209033544716,1.4943232306059733,10.25962550084676,8.83755367455256,14.417694109356376,2.0,1.0,4.0,4.0,4.0,4.0,3.1666666666666665,2
midterm_emphasis,0.85,5.665722475003943,7.502571862521586,0.04551940525624598,0.9465381470086083,-0.057727923668780656,1.4557190639393072,10.0533124763267,8.850109713199904,14.859153801482536,4.0,3.0,3.0,3.0,3.0,3.0,3.1666666666666665,2
midterm_emphasis,0.95,5.722147950454229,7.540974690854989,0.045496319423024026,0.949209902733799,0.24318040966455234,1.378510730605974,9.630589781593741,8.875467951924541,15.742390136576432,7.0,7.0,2.0,1.0,1.0,1.5,3.25,4
midterm_emphasis,0.75,5.649977784480203,7.499353934475025,0.04575130307494955,0.9430069765251478,-0.35863625700211405,1.5329273972726403,10.462542876741757,8.82559999039797,13.976341168585575,1.0,2.0,5.0,5.0,5.0,5.0,3.8333333333333335,5
midterm_emphasis,0.7,5.655445009729727,7.510723242528677,0.04594287535381855,0.9395318878227109,-0.5090904236687805,1.5715315639393068,11.012963428344714,8.815496792484927,13.53509670506878,3.0,4.0,6.0,6.0,6.0,6.0,5.166666666666667,6
midterm_emphasis,0.65,5.671771640450324,7.530540383893624,0.04618336318214785,0.9391633374541605,-0.6595445903354471,1.6101357306059731,11.567225029177383,8.807025940697487,13.966375882027592,5.0,6.0,7.0,7.0,7.0,7.0,6.5,7
moderate_trump_midterm_emphasis,0.9,5.508664383364166,7.332342688641037,0.04573799490942952,0.9498316230269432,-0.2077028664919351,1.214263626672286,9.5365465958553,8.862665751847246,15.300718428057678,5.0,2.0,2.0,2.0,2.0,1.5,2.4166666666666665,1
moderate_trump_midterm_emphasis,0.85,5.490580903581091,7.327327282654611,0.04582087928529968,0.9463965085231265,-0.3772070331586012,1.3092011266722856,9.997752019814564,8.850109713199904,14.859153801482536,2.0,1.0,3.0,3.0,3.0,3.0,2.5,2
moderate_trump_midterm_emphasis,0.95,5.5377632364820775,7.347629046181362,0.04571686448600411,0.9498316230269432,-0.03819869982526819,1.119326126672286,9.07035367768218,8.875467951924541,15.742390136576432,7.0,4.0,1.0,1.0,1.0,1.5,2.5833333333333335,3
moderate_trump_midterm_emphasis,0.8,5.485685670085418,7.332510104886308,0.04596430267458805,0.9441307701094874,-0.5467111998252676,1.4041386266722853,10.45396302410335,8.83755367455256,14.417694109356376,1.0,3.0,4.0,4.0,4.0,4.0,3.3333333333333335,4
moderate_trump_midterm_emphasis,0.75,5.4916506646049426,7.347754213571434,0.04616699663768863,0.9423564321872486,-0.7162153664919346,1.4990761266722854,10.90515031702842,8.82559999039797,13.976341168585575,3.0,5.0,5.0,5.0,5.0,5.0,4.666666666666667,5
moderate_trump_midterm_emphasis,0.7,5.507724603704842,7.3728645210756465,0.046427646477734535,0.9383857623652678,-0.8857195331586012,1.5940136266722855,11.585248406217783,8.815496792484927,13.53509670506878,4.0,6.0,6.0,6.0,6.0,6.0,5.666666666666667,6
moderate_trump_midterm_emphasis,0.65,5.536033959069135,7.4075953872569045,0.04674489807724353,0.9381400621195676,-1.0552236998252678,1.688951126672285,12.26516064236668,8.807025940697487,13.966375882027592,6.0,7.0,7.0,7.0,7.0,7.0,6.833333333333333,7
strong_trump_midterm_emphasis,0.9,5.35817673423902,7.199117615433777,0.0461721187957357,0.9505360405211052,-0.46232170583543464,0.96560208592561,8.738820902371021,8.862665751847246,15.300718428057678,3.0,1.0,2.0,2.0,2.0,1.5,1.9166666666666667,1
strong_trump_midterm_emphasis,0.95,5.383414608883991,7.204065541443271,0.04608582534332531,0.9505360405211052,-0.24958003916876775,0.7901437525922766,7.910693830176975,8.875467951924541,15.742390136576432,5.0,2.0,1.0,1.0,1.0,1.5,1.9166666666666667,1
strong_trump_midterm_emphasis,0.85,5.346551943161096,7.206756921161343,0.04633414818949036,0.9459558878493495,-0.6750633725021007,1.1410604192589429,9.55968981755687,8.850109713199904,14.859153801482536,1.0,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,3
strong_trump_midterm_emphasis,0.8,5.3515422422845225,7.226847804625459,0.04657038054856702,0.9435563201692474,-0.8878050391687671,1.316518752592276,10.373296236687647,8.83755367455256,14.417694109356376,2.0,4.0,4.0,4.0,4.0,4.0,3.6666666666666665,4
strong_trump_midterm_emphasis,0.75,5.370151494856694,7.25917035404844,0.046879213338686936,0.9414024527348455,-1.1005467058354341,1.4919770859256096,11.179605759547098,8.82559999039797,13.976341168585575,4.0,5.0,5.0,5.0,5.0,5.0,4.833333333333333,5
strong_trump_midterm_emphasis,0.7,5.401029839165995,7.303429075222001,0.04725898385434074,0.9365545224040078,-1.3132883725021012,1.667435419258943,12.09558889615971,8.815496792484927,13.53509670506878,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6
strong_trump_midterm_emphasis,0.65,5.446553246405012,7.359263622653408,0.04770797808198127,0.9364316722811576,-1.526030039168767,1.8428937525922757,13.006716828882023,8.807025940697487,13.966375882027592,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7
