model_id,model_description,alpha,rows,categorical_feature_count,numeric_feature_count,residual_prediction_mean,residual_prediction_sd,residual_prediction_min,residual_prediction_max,mean_absolute_error,rmse,winner_accuracy,brier_score,log_loss,predicted_dem_wins,expected_dem_wins,actual_dem_wins,mean_margin_error_dem_bias,mean_absolute_error_rank_within_model,rmse_rank_within_model,brier_score_rank_within_model,log_loss_rank_within_model,selection_rank_within_model,layer_2_mean_absolute_error,change_vs_layer_2_mean_absolute_error,layer_2_rmse,change_vs_layer_2_rmse,layer_2_winner_accuracy,change_vs_layer_2_winner_accuracy,layer_2_brier_score,change_vs_layer_2_brier_score,layer_2_log_loss,change_vs_layer_2_log_loss,layer_2_predicted_dem_wins,change_vs_layer_2_predicted_dem_wins,layer_2_expected_dem_wins,change_vs_layer_2_expected_dem_wins,predicted_win_count_error,expected_win_count_error,intercept_only_mean_absolute_error,change_vs_intercept_only_mean_absolute_error,intercept_only_rmse,change_vs_intercept_only_rmse,intercept_only_winner_accuracy,change_vs_intercept_only_winner_accuracy,intercept_only_brier_score,change_vs_intercept_only_brier_score,intercept_only_log_loss,change_vs_intercept_only_log_loss,intercept_only_predicted_dem_wins,change_vs_intercept_only_predicted_dem_wins,intercept_only_expected_dem_wins,change_vs_intercept_only_expected_dem_wins,layer_2_predicted_win_count_error,layer_2_expected_win_count_error,mean_absolute_error_rank,rmse_rank,brier_score_rank,log_loss_rank,combined_rank
H_safe_full_district_dna,"Elasticity, behavior, 2020 Census demographics, region, district type, and reliability. No post-2022 political data.",30.0,400,3,22,-3.081144600054904,2.9456371534237564,-29.71569448030104,6.295743997548667,3.9223353669714807,5.678792456674281,0.9475,0.030333148979471983,0.09734133823857266,201.0,198.10433778168027,204.0,-0.13890586407587344,1.0,5.0,1.0,1.0,8.0,4.889977875468015,-0.9676425084965348,6.475034390695038,-0.7962419340207569,0.9575,-0.010000000000000009,0.03212386114884795,-0.001790712169375968,0.10342187192479814,-0.006080533686225478,209.0,-8.0,206.77423633720332,-8.669898555523048,3.0,5.895662218319728,4.2837396217416,-0.3614042547701195,5.770801798126503,-0.09200934145222206,0.955,-0.007499999999999951,0.033398971399112735,-0.003065822419640752,0.10801895634459167,-0.010677618106019013,198.0,3.0,196.5799813695931,1.5243564120871724,5.0,2.7742363372033196,2.0,4.0,1.0,1.0,8.0
G_combined_behavior,All regime-aware behavior measures plus reliability.,3.0,400,1,15,-2.931854865971271,1.976047657641759,-8.783217331839902,2.7622624099501802,4.229601285768009,5.605401492114978,0.955,0.030757076502540226,0.09790086272227416,200.0,198.70794743637714,204.0,0.010383870007758613,5.0,3.0,1.0,6.0,15.0,4.889977875468015,-0.6603765897000065,6.475034390695038,-0.8696328985800603,0.9575,-0.0025000000000000577,0.03212386114884795,-0.0013667846463077254,0.10342187192479814,-0.005521009202523977,209.0,-9.0,206.77423633720332,-8.06628890082618,4.0,5.29205256362286,4.2837396217416,-0.05413833597359119,5.770801798126503,-0.16540030601152544,0.955,0.0,0.033398971399112735,-0.0026418948965725095,0.10801895634459167,-0.010118093622317512,198.0,2.0,196.5799813695931,2.1279660667840403,5.0,2.7742363372033196,3.0,2.0,3.0,2.0,10.0
D_swing_predictability,"Historical swing, trend, and predictability measures.",3.0,400,0,5,-2.9402152509597785,1.5081643499729531,-7.9091472603644055,3.2016211036368865,4.233273170102173,5.601260173669972,0.96,0.030738386258300422,0.09886583338735948,202.0,197.05633220194372,204.0,0.0020234850192514743,3.0,1.0,6.0,6.0,16.0,4.889977875468015,-0.6567047053658426,6.475034390695038,-0.8737742170250664,0.9575,0.0024999999999999467,0.03212386114884795,-0.0013854748905475292,0.10342187192479814,-0.004556038537438661,209.0,-7.0,206.77423633720332,-9.717904135259602,2.0,6.943667798056282,4.2837396217416,-0.05046645163942731,5.770801798126503,-0.16954162445653154,0.955,0.0050000000000000044,0.033398971399112735,-0.0026605851408123132,0.10801895634459167,-0.009153122957232196,198.0,4.0,196.5799813695931,0.4763508323506187,5.0,2.7742363372033196,4.0,1.0,2.0,3.0,10.0
F_demographics,Continuous DRA voting-age demographic shares.,30.0,400,2,6,-3.0926405356732145,2.561352191382608,-26.091261220036166,5.155121474627009,3.879207817000895,5.666777843750549,0.9525,0.031082060490957252,0.10063853424391628,199.0,196.67595393450026,204.0,-0.15040179969418446,2.0,4.0,1.0,1.0,8.0,4.889977875468015,-1.0107700584671204,6.475034390695038,-0.8082565469444889,0.9575,-0.0050000000000000044,0.03212386114884795,-0.0010418006578906992,0.10342187192479814,-0.0027833376808818616,209.0,-10.0,206.77423633720332,-10.098282402703063,5.0,7.3240460654997435,4.2837396217416,-0.40453180474070516,5.770801798126503,-0.10402395437595402,0.955,-0.0024999999999999467,0.033398971399112735,-0.0023169109081554833,0.10801895634459167,-0.007380422100675396,198.0,1.0,196.5799813695931,0.09597256490715722,5.0,2.7742363372033196,1.0,3.0,4.0,4.0,12.0
B_competitiveness_only,Historical competitiveness measures only.,300.0,400,0,4,-2.940468929693535,0.5529741737206006,-3.9174164018953364,-1.353080219016583,4.260616599328037,5.756295370582444,0.95,0.03310782224797602,0.10642652235870952,200.0,198.31990518756263,204.0,0.0017698062854953633,1.0,2.0,2.0,3.0,8.0,4.889977875468015,-0.6293612761399787,6.475034390695038,-0.7187390201125945,0.9575,-0.007500000000000062,0.03212386114884795,0.0009839610991280653,0.10342187192479814,0.0030046504339113767,209.0,-9.0,206.77423633720332,-8.454331149640694,4.0,5.680094812437375,4.2837396217416,-0.023123022413563454,5.770801798126503,-0.014506427544059619,0.955,-0.0050000000000000044,0.033398971399112735,-0.0002911491511367187,0.10801895634459167,-0.001592433985882158,198.0,2.0,196.5799813695931,1.739923817969526,5.0,2.7742363372033196,5.0,6.0,5.0,5.0,21.0
C_volatility_only,Historical within-regime volatility measures only.,100.0,400,0,2,-2.940672396569805,0.43392370742506875,-3.753806035043332,-1.3872731673609744,4.270807619364994,5.754036322452024,0.9525,0.03346880628969564,0.10787611509504753,199.0,196.89796369469366,204.0,0.0015663394092245576,2.0,1.0,5.0,9.0,17.0,4.889977875468015,-0.619170256103021,6.475034390695038,-0.7209980682430137,0.9575,-0.0050000000000000044,0.03212386114884795,0.0013449451408476878,0.10342187192479814,0.0044542431702493945,209.0,-10.0,206.77423633720332,-9.876272642509662,5.0,7.102036305306342,4.2837396217416,-0.012932002376605745,5.770801798126503,-0.016765475674478836,0.955,-0.0024999999999999467,0.033398971399112735,6.983489058290382e-05,0.10801895634459167,-0.00014284124954414001,198.0,1.0,196.5799813695931,0.3179823251005587,5.0,2.7742363372033196,6.0,5.0,9.0,6.0,26.0
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,1000.0,400,0,1,-2.941741263807003,0.08787998873885489,-3.14454065791741,-2.745108374055168,4.2885969200008205,5.769958549791762,0.955,0.03337032939347963,0.10791286144528817,198.0,196.51357969245828,204.0,0.000497472172026967,3.0,1.0,11.0,11.0,26.0,4.889977875468015,-0.6013809554671949,6.475034390695038,-0.7050758409032758,0.9575,-0.0025000000000000577,0.03212386114884795,0.0012464682446316766,0.10342187192479814,0.004490989520490027,209.0,-11.0,206.77423633720332,-10.26065664474504,6.0,7.486420307541721,4.2837396217416,0.004857298259220322,5.770801798126503,-0.0008432483347409203,0.955,0.0,0.033398971399112735,-2.8642005633107426e-05,0.10801895634459167,-0.00010609489930350768,198.0,0.0,196.5799813695931,-0.06640167713482015,5.0,2.7742363372033196,9.0,7.0,6.0,7.0,29.0
0_intercept_only,Out-of-fold mean Layer 2 residual; no district features.,,400,0,0,-2.9422387359790303,0.041581759710687685,-3.007452010038963,-2.864166081774842,4.2837396217416,5.770801798126503,0.955,0.033398971399112735,0.10801895634459167,198.0,196.5799813695931,204.0,2.3092638912203257e-16,,,,,,4.889977875468015,-0.6062382537264153,6.475034390695038,-0.7042325925685349,0.9575,-0.0025000000000000577,0.03212386114884795,0.001275110250264784,0.10342187192479814,0.0045970844197935345,209.0,-11.0,206.77423633720332,-10.19425496761022,6.0,7.420018630406901,4.2837396217416,0.0,5.770801798126503,0.0,0.955,0.0,0.033398971399112735,0.0,0.10801895634459167,0.0,198.0,0.0,196.5799813695931,0.0,5.0,2.7742363372033196,7.0,8.0,7.0,8.0,30.0
E_party_behavior,Party switching and historical Democratic win rate.,10000.0,400,0,2,-2.9419565048458183,0.041531481260056,-3.011508008665629,-2.8584839576184318,4.283983980998572,5.7714074743268045,0.955,0.03340639091129984,0.10804886501415036,198.0,196.58696951675168,204.0,0.00028223113321123705,1.0,1.0,1.0,1.0,4.0,4.889977875468015,-0.6059938944694432,6.475034390695038,-0.7036269163682336,0.9575,-0.0025000000000000577,0.03212386114884795,0.0012825297624518908,0.10342187192479814,0.004626993089352216,209.0,-11.0,206.77423633720332,-10.18726682045164,6.0,7.4130304832483205,4.2837396217416,0.00024435925697208205,5.770801798126503,0.000605676200301275,0.955,0.0,0.033398971399112735,7.4195121871067915e-06,0.10801895634459167,2.9908669558681433e-05,198.0,0.0,196.5799813695931,0.006988147158580205,5.0,2.7742363372033196,8.0,9.0,8.0,9.0,34.0
