model_id,model_description,alpha,rows,categorical_feature_count,numeric_feature_count,residual_prediction_mean,residual_prediction_sd,residual_prediction_min,residual_prediction_max,mean_absolute_error,rmse,winner_accuracy,brier_score,log_loss,predicted_dem_wins,expected_dem_wins,actual_dem_wins,mean_margin_error_dem_bias,mean_absolute_error_rank_within_model,rmse_rank_within_model,brier_score_rank_within_model,log_loss_rank_within_model,selection_rank_within_model
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,0.01,400,0,1,-2.940359448864904,0.29492648596657245,-3.572729822583447,-2.26909066605779,4.308329670651137,5.773041009357451,0.955,0.03333330674081934,0.10772471631674922,198.0,196.3251980241226,204.0,0.0018792871141265445,13.0,13.0,1.0,1.0,28.0
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,0.03,400,0,1,-2.940359553261043,0.29491043785654514,-3.5726944821912356,-2.269126629202905,4.308327854596201,5.773040475319533,0.955,0.03333330717380792,0.10772472462587014,198.0,196.3252124634812,204.0,0.001879182717986545,12.0,12.0,2.0,2.0,28.0
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,0.1,400,0,1,-2.940359918556212,0.29485428364909416,-3.572570821732752,-2.2692524687517928,4.308321863079607,5.773038607011881,0.955,0.03333330869169982,0.10772475370753654,198.0,196.325262988369,204.0,0.001878817422817871,11.0,11.0,3.0,3.0,28.0
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,0.3,400,0,1,-2.940360961474571,0.29469396448121526,-3.5722177709031433,-2.2696117408883945,4.308304757289042,5.773033276053792,0.955,0.03333331304934241,0.107724836795764,198.0,196.3254072349909,204.0,0.0018777745044593174,10.0,10.0,4.0,4.0,28.0
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,1.0,400,0,1,-2.940364602588568,0.29413426020954303,-3.5709851736369456,-2.270866058443425,4.308245036283118,5.773014699794029,0.955,0.03333332854245442,0.1077251275765314,198.0,196.3259108160119,204.0,0.0018741333904616652,9.0,9.0,5.0,5.0,28.0
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,3.0,400,0,1,-2.940374928392373,0.2925471182332639,-3.567731875718869,-2.274423166787207,4.308075673997132,5.77296232038481,0.955,0.03333337484178914,0.10772595809305269,198.0,196.32733871833057,204.0,0.0018638075866574866,8.0,8.0,6.0,6.0,28.0
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,10.0,400,0,1,-2.940410189616985,0.2871285989546621,-3.5568105159816303,-2.286570211090904,4.307497324677283,5.772786805114235,0.955,0.03333355928150504,0.10772885989122606,198.0,196.33221259313905,204.0,0.001828546362045156,7.0,7.0,7.0,7.0,28.0
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,30.0,400,0,1,-2.940503961225295,0.2727299192076788,-3.5277668999771064,-2.3188733398985395,4.305959296815709,5.772345294380831,0.955,0.03333424800935391,0.10773707136374026,198.0,196.3451571157179,204.0,0.0017347747537352198,6.0,6.0,8.0,8.0,28.0
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,100.0,400,0,1,-2.9407679486878195,0.23230274494183345,-3.4460028070948043,-2.4098136699113386,4.301629414031496,5.7712994497092165,0.955,0.03333773466769889,0.1077640510922965,198.0,196.38146629234947,204.0,0.0014707872912102181,5.0,5.0,9.0,9.0,28.0
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,300.0,400,0,1,-2.941213641806369,0.16468228209522145,-3.307959533397412,-2.56334929201087,4.295058294388059,5.770194184506922,0.955,0.03334880609313458,0.10782255097291485,198.0,196.44231305346557,204.0,0.0010250941726617669,4.0,2.0,10.0,10.0,26.0
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,1000.0,400,0,1,-2.941741263807003,0.08787998873885489,-3.14454065791741,-2.745108374055168,4.2885969200008205,5.769958549791762,0.955,0.03337032939347963,0.10791286144528817,198.0,196.51357969245828,204.0,0.000497472172026967,3.0,1.0,11.0,11.0,26.0
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,3000.0,400,0,1,-2.942037378195114,0.0521302305397529,-3.0528259829031232,-2.830690608572798,4.285625151332644,5.770335929344354,0.955,0.03338640305277299,0.10797356206163762,198.0,196.55319933220838,204.0,0.00020135778391573212,2.0,3.0,12.0,12.0,29.0
A_elasticity_only,District DNA elasticity candidate as the only residual feature.,10000.0,400,0,1,-2.942173430751814,0.04284187526273317,-3.0196303280972256,-2.853309171547152,4.2843511448522085,5.77063214796806,0.955,0.03339474996620881,0.10800386846200843,198.0,196.57130960455055,204.0,6.530522721595489e-05,1.0,4.0,13.0,13.0,31.0
B_competitiveness_only,Historical competitiveness measures only.,0.01,400,0,4,-2.932571837166856,0.876152337742082,-4.574787374432996,0.7769028657309844,4.328352415429027,5.8169616436552465,0.9475,0.033252897659752326,0.10663318365645756,201.0,198.74828482100241,204.0,0.009666898812173521,13.0,13.0,12.0,10.0,48.0
B_competitiveness_only,Historical competitiveness measures only.,0.03,400,0,4,-2.9325759017913184,0.8760365565193126,-4.574639205686834,0.7762101322314696,4.328317817039428,5.816932927703254,0.9475,0.033252721425402275,0.10663286662841061,201.0,198.74827455000485,204.0,0.009662834187711323,12.0,12.0,11.0,9.0,44.0
B_competitiveness_only,Historical competitiveness measures only.,0.1,400,0,4,-2.9325900934960405,0.875632230723333,-4.574121515326326,0.7737886408322532,4.328196959764609,5.81683264233746,0.9475,0.033252106617879,0.10663176023857819,201.0,198.74823833732765,204.0,0.009648642482989587,11.0,11.0,10.0,8.0,40.0
B_competitiveness_only,Historical competitiveness measures only.,0.3,400,0,4,-2.932630348096369,0.8744847333099228,-4.57265005014532,0.7668963281007701,4.327853670790538,5.816547986770349,0.9475,0.033250367108456386,0.10662862636016479,201.0,198.74813262834152,204.0,0.009608387882661731,10.0,10.0,9.0,7.0,36.0
B_competitiveness_only,Historical competitiveness measures only.,1.0,400,0,4,-2.932767911335388,0.8705559813222775,-4.567586661313131,0.7430743141016287,4.326675139772715,5.8155729634068285,0.9475,0.0332444717813325,0.10661796555981581,201.0,198.7477372315421,204.0,0.009470824643642324,9.0,9.0,8.0,6.0,32.0
B_competitiveness_only,Historical competitiveness measures only.,3.0,400,0,4,-2.9331345970288423,0.8600207139290805,-4.553804241375258,0.6774715988448485,4.323491652000042,5.8129556016618675,0.95,0.033229134013954206,0.10658991315142596,200.0,198.74640768034578,204.0,0.009104138950187792,8.0,8.0,6.0,5.0,27.0
B_competitiveness_only,Historical competitiveness measures only.,10.0,400,0,4,-2.9341766676551826,0.8294030913427062,-4.511778416615591,0.472626659735532,4.314084174547507,5.805343914911875,0.95,0.0331886988812838,0.10651313803870072,200.0,198.73996147403946,204.0,0.008062068323847349,7.0,7.0,5.0,4.0,23.0
B_competitiveness_only,Historical competitiveness measures only.,30.0,400,0,4,-2.9360041726274937,0.7716084578157492,-4.421215638281752,0.03439422122679758,4.296687655153898,5.791219837146314,0.9525,0.033131211158273936,0.10639266351382216,199.0,198.71347802239484,204.0,0.00623456335153648,6.0,6.0,3.0,2.0,17.0
