probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,114,0.026383569278355275,0.0,0.026383569278355275,0.001462462168653525
10–20%,0.1,0.2,34,0.15806874513655284,0.0,0.15806874513655284,0.02595281029409535
20–30%,0.2,0.30000000000000004,16,0.2537366016814868,0.0,0.2537366016814868,0.0650164532712196
30–40%,0.30000000000000004,0.4,22,0.34591509309967206,0.09090909090909091,0.2550060021905811,0.14937916622358205
40–50%,0.4,0.5,12,0.4588668899367063,0.4166666666666667,0.04220022327003964,0.23878921847135304
50–60%,0.5,0.6000000000000001,8,0.5606979790455648,0.625,-0.06430202095443516,0.2371822296961945
60–70%,0.6000000000000001,0.7000000000000001,11,0.6561134405578554,0.9090909090909091,-0.2529774685330537,0.14159648617646806
70–80%,0.7000000000000001,0.8,15,0.7656159365996948,0.7333333333333333,0.032282603266361565,0.20432635171686073
80–90%,0.8,0.9,15,0.8576187953069417,0.8666666666666667,-0.009047871359724957,0.12331366326183199
90–100%,0.9,1.0,160,0.9846869109575944,0.98125,0.0034369109575944634,0.018365423116272848
