probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,95,0.033185620347922044,0.0,0.033185620347922044,0.0018562340865112873
10–20%,0.1,0.2,31,0.15224115628556245,0.0,0.15224115628556245,0.023982539683551313
20–30%,0.2,0.30000000000000004,18,0.24319153573986632,0.05555555555555555,0.18763598018431077,0.08705293096371719
30–40%,0.30000000000000004,0.4,17,0.34459655024685154,0.0,0.34459655024685154,0.11962111402548074
40–50%,0.4,0.5,13,0.46158616199761704,0.15384615384615385,0.3077400081514632,0.22183285962873517
50–60%,0.5,0.6000000000000001,11,0.5513750321151836,0.0,0.5513750321151836,0.3048640245736503
60–70%,0.6000000000000001,0.7000000000000001,8,0.6546641600544517,0.625,0.029664160054451716,0.23354110677430742
70–80%,0.7000000000000001,0.8,13,0.7358720665120324,0.46153846153846156,0.27433360497357084,0.32896901184759564
80–90%,0.8,0.9,14,0.8668078111892674,0.8571428571428571,0.009664954046410323,0.1150499625098964
90–100%,0.9,1.0,125,0.9801973778906252,0.984,-0.0038026221093747647,0.01454518432172997
