probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,132,0.022869541521732296,0.0,0.022869541521732296,0.0011502712428950789
10–20%,0.1,0.2,27,0.14265966022660162,0.037037037037037035,0.10562262318956459,0.048273541354788
20–30%,0.2,0.30000000000000004,15,0.2404492799991598,0.13333333333333333,0.10711594666582647,0.12602115970207042
30–40%,0.30000000000000004,0.4,10,0.34123960511947093,0.2,0.14123960511947092,0.18549137029724083
40–50%,0.4,0.5,10,0.4470414974661443,0.3,0.1470414974661443,0.22928893743665105
50–60%,0.5,0.6000000000000001,7,0.5641091011498558,0.5714285714285714,-0.007319470278715601,0.2543988294371752
60–70%,0.6000000000000001,0.7000000000000001,12,0.6645924317558076,0.8333333333333334,-0.16874090157752575,0.16310702547802636
70–80%,0.7000000000000001,0.8,20,0.7554001917388827,0.85,-0.09459980826111725,0.13589661707451586
80–90%,0.8,0.9,22,0.8515738147755186,0.9090909090909091,-0.05751709431539043,0.0820379250264288
90–100%,0.9,1.0,145,0.9821645825731505,1.0,-0.017835417426849465,0.0009520651968191975
