race_id,party_code,mit_candidate_name,fec_candidate_name,fec_candidate_id,incumbent_challenger_status,match_method,match_score,second_best_score,candidate_count_considered,match_reason
AL-2,R,MARTHA ROBY,"ROBY, MARTHA",H0AL02087,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
AL-2,D,NATHAN MATHIS,"MATHIS, NATHAN",H6AL02167,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
AL-5,R,MO BROOKS,"BROOKS, MO",H0AL05163,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
AK-AL,D,STEVE LINDBECK,"LINDBECK, STEVE",H6AK00235,,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
AZ-1,D,TOM O'HALLERAN,"O'HALLERAN, TOM",H6AZ01199,O,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
AZ-3,D,RAUL M GRIJALVA,"GRIJALVA, RAUL M",H2AZ07070,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
AZ-4,D,MIKEL WEISSER,"WEISSER, MIKEL",H2AZ04143,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
AZ-5,R,ANDY BIGGS,"BIGGS, ANDY",H6AZ05083,O,high_confidence_automatic,100.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
AZ-5,D,TALIA FUENTES,"FUENTES, TALIA",H6AZ05133,O,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
AZ-6,R,DAVID SCHWEIKERT,"SCHWEIKERT, DAVID",H4AZ06045,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
AZ-7,D,RUBEN GALLEGO,"GALLEGO, RUBEN",H4AZ07043,I,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
AZ-8,R,TRENT FRANKS,"FRANKS, TRENT",H4AZ04024,I,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
AZ-9,D,KYRSTEN SINEMA,"SINEMA, KYRSTEN",H2AZ09019,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
AR-2,D,DIANNE CURRY,"CURRY, DIANNE",H6AR02245,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
AR-3,R,STEVE WOMACK,"WOMACK, STEVE",H0AR03055,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
AR-4,R,BRUCE WESTERMAN,"WESTERMAN, BRUCE MR.",H4AR04048,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
