candidate_uid,cycle,chamber,race_id,state,district,party_code,candidate_name_canonical,candidate_name_mit,candidate_name_fec,fec_candidate_id,principal_campaign_committee_id,incumbent_challenger_status,is_incumbent,is_challenger,is_open_seat_candidate,fec_candidate_status,candidate_vote_total,candidate_vote_share,match_method,match_score,match_reason,second_best_score,candidate_count_considered,source_results,source_candidate_identity
HOUSE_2020_AK_AL_D_ALYSE_S_GALVIN,2020,House,AK-AL,AK,AL,D,ALYSE S GALVIN,ALYSE S GALVIN,,,,,False,False,False,,159856,0.45263828522078914,unmatched,0.0,last_name_mismatch+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2020_AK_AL_R_DON_YOUNG,2020,House,AK-AL,AK,AL,R,DON YOUNG,DON YOUNG,"YOUNG, DONALD E",H6AK00045,C00012229,I,True,False,False,C,192126,0.5440120057197061,high_confidence_automatic,88.75,last_exact+first_match+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2020_AL_1_D_JAMES_AVERHART,2020,House,AL-1,AL,1,D,JAMES AVERHART,JAMES AVERHART,"AVERHART, JAMES",H0AL01097,C00708867,O,False,False,True,C,116949,0.35538706981691104,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2020_AL_1_R_JERRY_CARL,2020,House,AL-1,AL,1,R,JERRY CARL,JERRY CARL,"CARL, JERRY LEE, JR",H0AL01055,C00697789,O,False,False,True,C,211825,0.6436982450809086,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,7,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2020_AL_2_D_PHYLLIS_HARVEY_HALL,2020,House,AL-2,AL,2,D,PHYLLIS HARVEY-HALL,PHYLLIS HARVEY-HALL,"HARVEY-HALL, PHYLLIS",H0AL02202,C00728873,O,False,False,True,C,105286,0.34682724520619695,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2020_AL_2_R_BARRY_MOORE,2020,House,AL-2,AL,2,R,BARRY MOORE,BARRY MOORE,"MOORE, FELIX BARRY",H8AL02171,C00720375,O,False,False,True,C,197996,0.6522273354657425,high_confidence_automatic,92.0,last_exact+alternate_given_name_match+token_overlap+scope_same_race,2.0,9,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2020_AL_3_D_ADIA_WINFREY,2020,House,AL-3,AL,3,D,ADIA WINFREY,ADIA WINFREY,"WINFREY, ADIA",H8AL03062,C00669010,C,False,True,False,C,104595,0.3245933079687432,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2020_AL_3_R_MIKE_ROGERS,2020,House,AL-3,AL,3,R,MIKE ROGERS,MIKE ROGERS,"ROGERS, MICHAEL",H2AL03032,C00367862,I,True,False,False,C,217384,0.6746153416461329,high_confidence_automatic,90.0,last_exact+first_match+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2020_AL_4_D_RICK_NEIGHBORS,2020,House,AL-4,AL,4,D,RICK NEIGHBORS,RICK NEIGHBORS,"NEIGHBORS, RICKY",H8AL04086,C00729764,C,False,True,False,C,56237,0.17682978596291532,probable_automatic,72.0,last_exact+first_initial+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2020_AL_4_R_ROBERT_B_ADERHOLT,2020,House,AL-4,AL,4,R,ROBERT B ADERHOLT,ROBERT B ADERHOLT,"ADERHOLT, ROBERT B. REP.",H6AL04098,C00313247,I,True,False,False,C,261553,0.8224187102434055,high_confidence_automatic,96.25,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
