race_id,party_code,mit_candidate_name,currently_selected_fec_id,fec_candidate_id,fec_candidate_name,incumbent_challenger_status,candidate_status,principal_campaign_committee_id
AL-3,D,LIN VEASEY,H2AL03149,H2AL03131,"VEASEY, KAREN LIN MRS",C,C,C00817130
AL-3,D,LIN VEASEY,H2AL03149,H2AL03149,"VEASEY, LIN",C,N,
CA-24,R,BRAD ALLEN,H2CA24229,H2CA24179,"SAGOO, GURPINDER SINGH",C,N,C00779645
CA-24,R,BRAD ALLEN,H2CA24229,H2CA24229,"ALLEN, BRAD DR.",C,C,C00820647
CA-24,R,BRAD ALLEN,H2CA24229,H4CA24175,"ALLEN, BRAD DR",C,N,C00557124
IL-15,D,PAUL J LANGE,H2IL15091,H2IL15091,"LANGE, PAUL J",C,N,
IL-15,D,PAUL J LANGE,H2IL15091,H2IL15109,"LANGE, PAUL",C,C,C00818831
TX-9,R,JIMMY I LEON,H2TX09149,H0TX09184,"WILLIAMS, MELISSA MECHELLE",C,N,C00709865
TX-9,R,JIMMY I LEON,H2TX09149,H2TX09149,"LEON, JIMMY I",C,N,
TX-9,R,JIMMY I LEON,H2TX09149,H2TX09156,"LEON, JIMMY",C,C,C00813980
IN-4,D,ROGER D DAY,H2IN04184,H2IN04184,"DAY, ROGER D MR",C,N,C00818245
IN-4,D,ROGER D DAY,H2IN04184,H4IN04206,"POLLCHIK, HOWARD JOSEPH",C,N,
IN-4,D,ROGER D DAY,H2IN04184,H8IN04231,"DAY, ROGER",C,N,C00667048
OH-12,D,AMY RIPPEL-ELTON,H2OH12126,H0OH12179,"SHEARER, ALAINA",C,C,C00724047
OH-12,D,AMY RIPPEL-ELTON,H2OH12126,H2OH12118,"O'CONNOR, DANIEL JAY JR.",C,C,C00774901
OH-12,D,AMY RIPPEL-ELTON,H2OH12126,H2OH12126,"RIPPEL-ELTON, AMY MRS.",C,N,C00813097
OH-12,D,AMY RIPPEL-ELTON,H2OH12126,H2OH12134,"ELTON, AMY RIPPEL",C,N,
OH-12,D,AMY RIPPEL-ELTON,H2OH12126,H2OH12142,"FLETCHER, MICHAEL",C,N,
OH-15,D,GARY JOSEPHSON,H2OH15277,H0OH15131,"KILGORE, DANIEL MCARTHUR MR.",C,N,C00712554
OH-15,D,GARY JOSEPHSON,H2OH15277,H2OH15269,"JOSEPHSON, GARY",C,N,
OH-15,D,GARY JOSEPHSON,H2OH15277,H2OH15277,"JOSEPHSON, GARY",C,C,C00817296
OH-15,D,GARY JOSEPHSON,H2OH15277,H8OH12297,"O'CONNOR, DANIEL",C,N,C00667964
NY-25,R,LAâRON D SINGLETARY,H2NY25082,H2NY25082,"SINGLETARY, LA'RON DESMOND",C,C,C00793109
TN-4,D,WAYNE STEELE,H8TN04123,H2TN04316,"WHITE, ARNOLD J.",C,N,
TN-4,D,WAYNE STEELE,H8TN04123,H8TN04123,"STEELE, RUSSELL",C,C,C00812529
TX-7,D,LIZZIE FLETCHER,H8TX07140,H8TX07140,"FLETCHER, ELIZABETH",I,C,C00640045
CA-46,D,J LUIS CORREA,H6CA46116,H2CA46149,"ORTEGA, MICHAEL",C,C,C00786129
CA-46,D,J LUIS CORREA,H6CA46116,H2CA46156,"RUVALCABA, JESUS",C,N,C00792788
CA-46,D,J LUIS CORREA,H6CA46116,H6CA46116,"CORREA, LOU",I,C,C00578302
NC-13,R,BO HINES,H2NC05157,H0NC02059,"ELLMERS, RENEE JACISIN",O,C,C00797878
NC-13,R,BO HINES,H2NC05157,H2NC04168,"BARBOUR, DEVAN IV",O,C,C00794610
NC-13,R,BO HINES,H2NC05157,H2NC04200,"DAUGHTRY, KELLY",O,C,C00797563
NC-13,R,BO HINES,H2NC05157,H2NC05157,"HINES, ROBERT NICHOLAS",O,C,C00766162
NC-13,R,BO HINES,H2NC05157,H2NC07187,"SLOTTA, CHAD",C,C,C00795724
NC-13,R,BO HINES,H2NC05157,H2NC13177,"HAFF, GRAYSON",O,N,C00787465
NC-13,R,BO HINES,H2NC05157,H2NC13193,"KEIRSEY, KENT",O,C,C00790816
NC-13,R,BO HINES,H2NC05157,H2NC13201,"BENTLEY, KAREN W",O,C,C00793448
NC-13,R,BO HINES,H2NC05157,H2NC13227,"ANERALLA, JOHN",O,C,C00796441
NC-13,R,BO HINES,H2NC05157,H2NC13268,"MOREL, JESSICA",O,C,C00808527
NC-13,R,BO HINES,H2NC05157,H2NC13284,"WOLFF, KEVIN ALAN",O,N,C00813246
NC-13,R,BO HINES,H2NC05157,H6NC13129,"BUDD, THEODORE P.",I,F,C00614776
PA-16,R,MIKE KELLY,H0PA03271,H0PA03271,"KELLY, GEORGE J JR",I,C,C00474189
LA-2,R,âDANâ LUX,H2LA02297,H2LA02297,"LUX, DANIEL ANTHONY",C,C,C00821413
LA-5,R,ALLEN GUILLORY,H8LA03037,H2LA05126,"LETLOW, JULIA",C,C,C00766428
LA-5,R,ALLEN GUILLORY,H8LA03037,H2LA05266,"PULLEN, HUNTER I MR.",C,N,
LA-5,R,ALLEN GUILLORY,H8LA03037,H8LA03037,"GUILLORY, JOSHUA S",C,N,C00632448
MO-2,D,TRISH GUNBY,H2MO02201,H2MO02185,"REED, RAYMOND",C,C,C00780650
MO-2,D,TRISH GUNBY,H2MO02201,H2MO02193,"SAMUELS, E. BENJAMIN",C,C,C00784074
MO-2,D,TRISH GUNBY,H2MO02201,H2MO02201,"GUNBY, PATRICIA WASHBURN",C,C,C00785923
