race_id,party_code,mit_candidate_name,current_match_method,rank,score,fec_candidate_id,fec_candidate_name,fec_race_id,incumbent_challenger_status,candidate_status,match_reason
PA-2,R,AARON BASHIR,unmatched,2,0.0,H0PA05094,"PRUETT, DASHA",PA-1,C,C,last_name_mismatch
PA-2,R,AARON BASHIR,unmatched,3,0.0,H0PA07132,"SCHELLER, LISA",PA-7,C,C,last_name_mismatch
PA-2,R,AARON BASHIR,unmatched,4,0.0,H0PA08197,"DANIELS, TEDDY",PA-8,C,C,last_name_mismatch
PA-2,R,AARON BASHIR,unmatched,5,0.0,H0PA08221,"BOGNET, JIM",PA-8,C,C,last_name_mismatch
TX-3,R,KEITH SELF,unmatched,1,0.0,H0TX04219,"FALLON, PATRICK",TX-4,I,C,last_name_mismatch
TX-3,R,KEITH SELF,unmatched,2,0.0,H0TX07170,"HUNT, WESLEY",TX-38,O,C,last_name_mismatch
TX-3,R,KEITH SELF,unmatched,3,0.0,H0TX07220,"REHMAN, LAIQUE",TX-7,C,C,last_name_mismatch
TX-3,R,KEITH SELF,unmatched,4,0.0,H0TX09176,"TEAGUE, JOHNNY MARK DR.",TX-7,C,C,last_name_mismatch
TX-3,R,KEITH SELF,unmatched,5,0.0,H0TX09184,"WILLIAMS, MELISSA MECHELLE",TX-9,C,N,last_name_mismatch
TX-10,D,LINDA NUNO,unmatched,1,0.0,H0TX03104,"ROBERTSON, AL D",TX-3,O,N,last_name_mismatch
TX-10,D,LINDA NUNO,unmatched,2,0.0,H0TX04151,"FOSTER, RUSSELL",TX-4,C,N,last_name_mismatch
TX-10,D,LINDA NUNO,unmatched,3,0.0,H0TX08145,"JONES, LAURA",TX-8,O,C,last_name_mismatch
TX-10,D,LINDA NUNO,unmatched,4,0.0,H0TX14218,"WILLIAMS, MIKAL D. DR",TX-14,C,C,last_name_mismatch
TX-10,D,LINDA NUNO,unmatched,5,0.0,H0TX14234,"SAJNA, CYRUS",TX-14,C,N,last_name_mismatch
WA-1,R,VINCENT J CAVELERI,unmatched,1,0.0,H0WA01124,"CHARTRAND, DEREK",WA-1,C,N,last_name_mismatch
WA-1,R,VINCENT J CAVELERI,unmatched,2,0.0,H0WA01140,"HEINES, MATTHEW",WA-1,C,N,last_name_mismatch
WA-1,R,VINCENT J CAVELERI,unmatched,3,0.0,H0WA03187,"HERRERA BEUTLER, JAIME",WA-3,I,C,last_name_mismatch
WA-1,R,VINCENT J CAVELERI,unmatched,4,0.0,H0WA06081,"KREISELMAIER, ELIZABETH",WA-6,C,C,last_name_mismatch
WA-1,R,VINCENT J CAVELERI,unmatched,5,0.0,H0WA08103,"JENSEN, JESSE",WA-8,C,C,last_name_mismatch
IA-2,R,ASHLEY HINSON,unmatched,1,0.0,H0IA01174,"ARENHOLZ, ASHLEY HINSON",IA-2,I,C,last_name_mismatch
IA-2,R,ASHLEY HINSON,unmatched,2,0.0,H0IA04145,"FEENSTRA, RANDALL",IA-4,I,C,last_name_mismatch
IA-2,R,ASHLEY HINSON,unmatched,3,0.0,H2IA01097,"KUEHL, KYLE",IA-1,C,C,last_name_mismatch
IA-2,R,ASHLEY HINSON,unmatched,4,0.0,H2IA03093,"HANUSA, MARY ANN",IA-3,C,C,last_name_mismatch
IA-2,R,ASHLEY HINSON,unmatched,5,0.0,H2IA03101,"HASSO, NICOLE",IA-3,C,C,last_name_mismatch
MT-1,R,RYAN K ZINKE,unmatched,1,0.0,H2MT00112,"TODD, MARY BROOKS",MT-1,C,C,last_name_mismatch
MT-1,R,RYAN K ZINKE,unmatched,2,0.0,H2MT01102,"WALKING CHILD, CHARLES A",MT-1,C,N,last_name_mismatch
MT-1,R,RYAN K ZINKE,unmatched,3,0.0,H2MT01110,"JETTE, MATTHEW DR.",MT-1,C,N,last_name_mismatch
MT-1,R,RYAN K ZINKE,unmatched,4,0.0,H2MT01128,"MCKIBBEN, ALLEN HARLEY II",MT-1,C,N,last_name_mismatch
MT-1,R,RYAN K ZINKE,unmatched,5,0.0,H2MT01136,"HEUER, MITCH MR.",MT-1,O,C,last_name_mismatch
VT-AL,R,LIAM MADDEN,unmatched,1,0.0,H8VT01065,"TYNIO, NATASHA",VT-AL,O,N,last_name_mismatch
