candidate_uid,cycle,chamber,race_id,state,district,party_code,candidate_name_canonical,candidate_name_mit,candidate_name_fec,fec_candidate_id,principal_campaign_committee_id,incumbent_challenger_status,is_incumbent,is_challenger,is_open_seat_candidate,fec_candidate_status,candidate_vote_total,candidate_vote_share,match_method,match_score,match_reason,second_best_score,candidate_count_considered,source_results,source_candidate_identity
HOUSE_2022_AL_7_R_BEATRICE_NICHOLS,2022,House,AL-7,AL,7,R,BEATRICE NICHOLS,BEATRICE NICHOLS,"NICHOLS, BEATRICE JACKSON",H2AL07173,C00762344,C,False,True,False,C,67416,0.34761266371042593,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AR_1_D_MONTE_HODGES,2022,House,AR-1,AR,1,D,MONTE HODGES,MONTE HODGES,"HODGES, MONTE",H2AR01113,C00798892,C,False,True,False,C,54598,0.2620217687597182,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AR_1_R_ERIC_A_ARICKA_CRAWFORD,2022,House,AR-1,AR,1,R,ERIC A âRICKâ CRAWFORD,ERIC A âRICKâ CRAWFORD,"CRAWFORD, ERIC ALAN RICK",H0AR01083,C00462374,I,True,False,False,C,153774,0.7379782312402818,high_confidence_automatic,90.0,last_exact+first_match+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AR_2_D_QUINTESSA_HATHAWAY,2022,House,AR-2,AR,2,D,QUINTESSA HATHAWAY,QUINTESSA HATHAWAY,"HATHAWAY, QUINTESSA DR.",H2AR02095,C00788232,C,False,True,False,N,86887,0.3525599928584761,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AR_2_R_J_FRENCH_HILL,2022,House,AR-2,AR,2,R,J FRENCH HILL,J FRENCH HILL,"HILL, JAMES FRENCH",H4AR02141,C00551275,I,True,False,False,C,147975,0.6004357952654943,probable_automatic,74.5,last_exact+first_initial+token_overlap+scope_same_race,2.0,4,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AR_3_D_LAUREN_MALLETT_HAYS,2022,House,AR-3,AR,3,D,LAUREN MALLETT-HAYS,LAUREN MALLETT-HAYS,"HAYS, LAUREN",H2AR03283,C00777144,C,False,True,False,C,73541,0.32891300069771184,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AR_3_R_STEVE_WOMACK,2022,House,AR-3,AR,3,R,STEVE WOMACK,STEVE WOMACK,"WOMACK, STEVE",H0AR03055,C00477745,I,True,False,False,C,142401,0.6368901729967619,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AR_4_D_JOHN_WHITE,2022,House,AR-4,AR,4,D,JOHN WHITE,JOHN WHITE,"WHITE, JOHN",H2AR04158,,C,False,True,False,N,56745,0.2618645475689445,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AR_4_R_BRUCE_WESTERMAN,2022,House,AR-4,AR,4,R,BRUCE WESTERMAN,BRUCE WESTERMAN,"WESTERMAN, BRUCE",H4AR04048,C00548180,I,True,False,False,C,153850,0.7099808025990327,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AZ_1_D_JEVIN_HODGE,2022,House,AZ-1,AZ,1,D,JEVIN HODGE,JEVIN HODGE,"HODGE, JEVIN D",H2AZ06221,C00778464,C,False,True,False,C,179141,0.49558063168611005,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,4,MIT Election Data and Science Lab,Federal Election Commission
