race_id,candidate,party,party_code,candidatevotes,candidate_norm,candidate_id,candidate_name,incumbent_challenger_status,candidate_status,fec_key_count,match_status
CA-12,STEPHEN SLAUSON,REPUBLICAN,R,22859,STEPHEN SLAUSON,,,,,,No exact FEC match
CA-12,BARBARA LEE,DEMOCRAT,D,217110,BARBARA LEE,,,,,,No exact FEC match
CA-13,JOHN DUARTE,REPUBLICAN,R,67060,JOHN DUARTE,,,,,,No exact FEC match
CA-13,ADAM GRAY,DEMOCRAT,D,66496,ADAM GRAY,,,,,,No exact FEC match
CA-14,ALISON HAYDEN,REPUBLICAN,R,60852,ALISON HAYDEN,,,,,,No exact FEC match
CA-14,ERIC SWALWELL,DEMOCRAT,D,137612,ERIC SWALWELL,,,,,,No exact FEC match
CA-15,KEVIN MULLIN,DEMOCRAT,D,108077,KEVIN MULLIN,,,,,,No exact FEC match
CA-15,DAVID J CANEPA,DEMOCRAT,D,86797,DAVID J CANEPA,,,,,,No exact FEC match
CA-16,ANNA G ESHOO,DEMOCRAT,D,139235,ANNA G ESHOO,,,,,,No exact FEC match
CA-16,RISHI KUMAR,DEMOCRAT,D,101772,RISHI KUMAR,,,,,,No exact FEC match
CA-17,RITESH TANDON,REPUBLICAN,R,52400,RITESH TANDON,,,,,,No exact FEC match
CA-17,RO KHANNA,DEMOCRAT,D,127853,RO KHANNA,,,,,,No exact FEC match
CA-18,PETER HERNANDEZ,REPUBLICAN,R,51737,PETER HERNANDEZ,,,,,,No exact FEC match
CA-18,ZOE LOFGREN,DEMOCRAT,D,99776,ZOE LOFGREN,,,,,,No exact FEC match
CA-19,JEFF GORMAN,REPUBLICAN,R,88816,JEFF GORMAN,,,,,,No exact FEC match
CA-19,JIMMY PANETTA,DEMOCRAT,D,194494,JIMMY PANETTA,,,,,,No exact FEC match
CA-20,KEVIN MCCARTHY,REPUBLICAN,R,153847,KEVIN MCCARTHY,,,,,,No exact FEC match
CA-20,MARISA WOOD,DEMOCRAT,D,74934,MARISA WOOD,,,,,,No exact FEC match
CA-21,MICHAEL MAHER,REPUBLICAN,R,57573,MICHAEL MAHER,,,,,,No exact FEC match
CA-21,JIM COSTA,DEMOCRAT,D,68074,JIM COSTA,,,,,,No exact FEC match
CA-22,DAVID G VALADAO,REPUBLICAN,R,52994,DAVID G VALADAO,,,,,,No exact FEC match
CA-22,RUDY SALAS,DEMOCRAT,D,49862,RUDY SALAS,,,,,,No exact FEC match
CA-23,JAY OBERNOLTE,REPUBLICAN,R,103197,JAY OBERNOLTE,,,,,,No exact FEC match
CA-23,DEREK MARSHALL,DEMOCRAT,D,65908,DEREK MARSHALL,,,,,,No exact FEC match
CA-24,BRAD ALLEN,REPUBLICAN,R,103533,BRAD ALLEN,,,,,,No exact FEC match
CA-24,SALUD O CARBAJAL,DEMOCRAT,D,159019,SALUD O CARBAJAL,,,,,,No exact FEC match
CA-25,BRIAN E HAWKINS,REPUBLICAN,R,65101,BRIAN E HAWKINS,,,,,,No exact FEC match
CA-25,RAUL RUIZ,DEMOCRAT,D,87641,RAUL RUIZ,,,,,,No exact FEC match
CA-26,MATT JACOBS,REPUBLICAN,R,112214,MATT JACOBS,,,,,,No exact FEC match
CA-26,JULIA BROWNLEY,DEMOCRAT,D,134575,JULIA BROWNLEY,,,,,,No exact FEC match
CA-27,MIKE GARCIA,REPUBLICAN,R,104624,MIKE GARCIA,,,,,,No exact FEC match
CA-27,CHRISTY SMITH,DEMOCRAT,D,91892,CHRISTY SMITH,,,,,,No exact FEC match
CA-28,WES HALLMAN,REPUBLICAN,R,76495,WES HALLMAN,,,,,,No exact FEC match
