candidate_uid,cycle,chamber,race_id,state,district,party_code,candidate_name_canonical,candidate_name_mit,candidate_name_fec,fec_candidate_id,principal_campaign_committee_id,incumbent_challenger_status,is_incumbent,is_challenger,is_open_seat_candidate,fec_candidate_status,candidate_vote_total,candidate_vote_share,match_method,match_score,match_reason,second_best_score,candidate_count_considered,source_results,source_candidate_identity
HOUSE_2016_AK_AL_D_STEVE_LINDBECK,2016,House,AK-AL,AK,AL,D,STEVE LINDBECK,STEVE LINDBECK,"LINDBECK, STEVE",H6AK00235,C00615302,,False,False,False,C,111019,0.36021972887559295,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AK_AL_R_DON_YOUNG,2016,House,AK-AL,AK,AL,R,DON YOUNG,DON YOUNG,"YOUNG, DONALD E",H6AK00045,C00012229,I,True,False,False,C,155088,0.5032089760478653,high_confidence_automatic,88.75,last_exact+first_match+scope_same_race,0.0,4,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AL_1_R_BRADLEY_BYRNE,2016,House,AL-1,AL,1,R,BRADLEY BYRNE,BRADLEY BYRNE,"BYRNE, BRADLEY ROBERTS",H4AL01123,C00545673,I,True,False,False,C,208083,0.9638246724071646,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AL_2_D_NATHAN_MATHIS,2016,House,AL-2,AL,2,D,NATHAN MATHIS,NATHAN MATHIS,"MATHIS, NATHAN",H6AL02167,C00627976,C,False,True,False,N,112089,0.40526205420414774,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AL_2_R_MARTHA_ROBY,2016,House,AL-2,AL,2,R,MARTHA ROBY,MARTHA ROBY,"ROBY, MARTHA",H0AL02087,C00462143,I,True,False,False,C,134886,0.4876854771064125,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AL_3_D_JESSE_SMITH,2016,House,AL-3,AL,3,D,JESSE SMITH,JESSE SMITH,"SMITH, JESSE TREMAIN",H4AL03061,C00569699,C,False,True,False,C,94549,0.3293196890325457,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AL_3_R_MIKE_ROGERS,2016,House,AL-3,AL,3,R,MIKE ROGERS,MIKE ROGERS,"ROGERS, MICHAEL DENNIS",H2AL03032,C00367862,I,True,False,False,C,192164,0.6693184351315203,high_confidence_automatic,88.75,last_exact+first_match+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AL_4_R_ROBERT_B_ADERHOLT,2016,House,AL-4,AL,4,R,ROBERT B ADERHOLT,ROBERT B ADERHOLT,"ADERHOLT, ROBERT BROWN",H6AL04098,C00313247,I,True,False,False,C,235925,0.9853034529994488,high_confidence_automatic,92.5,last_exact+first_match+token_overlap+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AL_5_D_WILL_BOYD,2016,House,AL-5,AL,5,D,WILL BOYD JR,WILL BOYD JR,"BOYD, WILLIE ""WILL"" DR. JR.",H6AL05202,C00581819,C,False,True,False,C,102234,0.33157761590005386,high_confidence_automatic,92.0,last_exact+alternate_given_name_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AL_5_R_MO_BROOKS,2016,House,AL-5,AL,5,R,MO BROOKS,MO BROOKS,"BROOKS, MO",H0AL05163,C00464149,I,True,False,False,C,205647,0.6669791065301013,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AL_6_D_DAVID_J_PUTNAM,2016,House,AL-6,AL,6,D,DAVID J PUTNAM,DAVID J PUTNAM,,,,,False,False,False,,83709,0.2541982229294334,unmatched,0.0,last_name_mismatch+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AL_6_R_GARY_J_PALMER,2016,House,AL-6,AL,6,R,GARY J PALMER,GARY J PALMER,"PALMER, GARY",H4AL06098,C00551374,I,True,False,False,C,245313,0.7449393573150808,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AL_7_D_TERRI_A_SEWELL,2016,House,AL-7,AL,7,D,TERRI A SEWELL,TERRI A SEWELL,"SEWELL, TERRYCINA ANDREA",H0AL07086,C00458976,I,True,False,False,C,229330,0.9841306624096675,probable_automatic,70.0,last_exact+first_initial+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AR_1_R_ERIC_A_RICK_CRAWFORD,2016,House,AR-1,AR,1,R,"ERIC A \""RICK\"" CRAWFORD","ERIC A \""RICK\"" CRAWFORD","CRAWFORD, ERIC ALAN RICK",H0AR01083,C00462374,I,True,False,False,C,183866,0.762780702518596,high_confidence_automatic,94.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AR_2_D_DIANNE_CURRY,2016,House,AR-2,AR,2,D,DIANNE CURRY,DIANNE CURRY,"CURRY, DIANNE",H6AR02245,C00587105,C,False,True,False,C,111347,0.36813306707575116,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AR_2_R_J_FRENCH_HILL,2016,House,AR-2,AR,2,R,J FRENCH HILL,J FRENCH HILL,"HILL, JAMES FRENCH",H4AR02141,C00551275,I,True,False,False,C,176472,0.5834479475243335,probable_automatic,74.5,last_exact+first_initial+token_overlap+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AR_3_R_STEVE_WOMACK,2016,House,AR-3,AR,3,R,STEVE WOMACK,STEVE WOMACK,"WOMACK, STEVE",H0AR03055,C00477745,I,True,False,False,C,217192,0.7731811596008643,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AR_4_R_BRUCE_WESTERMAN,2016,House,AR-4,AR,4,R,BRUCE WESTERMAN,BRUCE WESTERMAN,"WESTERMAN, BRUCE MR.",H4AR04048,C00548180,I,True,False,False,C,182885,0.7490405842094701,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_1_D_TOM_O_HALLERAN,2016,House,AZ-1,AZ,1,D,TOM O'HALLERAN,TOM O'HALLERAN,"O'HALLERAN, TOM",H6AZ01199,C00582890,O,False,False,True,C,142219,0.5066403049410424,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,5,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_1_R_PAUL_BABEU,2016,House,AZ-1,AZ,1,R,PAUL BABEU,PAUL BABEU,"BABEU, PAUL RAYMOND",H2AZ04127,C00588673,O,False,False,True,C,121745,0.43370382245021555,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,7,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_2_D_MATT_HEINZ,2016,House,AZ-2,AZ,2,D,MATT HEINZ,MATT HEINZ,"HEINZ, MATTHEW GERALD DR.",H6AZ02189,C00582221,C,False,True,False,C,135873,0.4304150735398934,high_confidence_automatic,88.75,last_exact+first_match+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_2_R_MARTHA_MCSALLY,2016,House,AZ-2,AZ,2,R,MARTHA MCSALLY,MARTHA MCSALLY,"MCSALLY, MARTHA E. MS.",H2AZ08102,C00512236,I,True,False,False,C,179806,0.5695849264601066,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_3_D_RAUL_M_GRIJALVA,2016,House,AZ-3,AZ,3,D,RAUL M GRIJALVA,RAUL M GRIJALVA,"GRIJALVA, RAUL M",H2AZ07070,C00374058,I,True,False,False,C,148973,0.9863475353394908,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_4_D_MIKEL_WEISSER,2016,House,AZ-4,AZ,4,D,MIKEL WEISSER,MIKEL WEISSER,"WEISSER, MIKEL",H2AZ04143,C00605741,C,False,True,False,C,81296,0.2854664779849921,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_4_R_PAUL_A_GOSAR,2016,House,AZ-4,AZ,4,R,PAUL A GOSAR,PAUL A GOSAR,"GOSAR, PAUL DR.",H0AZ01259,C00461806,I,True,False,False,P,203487,0.714533522015008,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_5_D_TALIA_FUENTES,2016,House,AZ-5,AZ,5,D,TALIA FUENTES,TALIA FUENTES,"FUENTES, TALIA",H6AZ05133,C00615542,O,False,False,True,C,114940,0.3590483687571066,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_5_R_ANDY_BIGGS,2016,House,AZ-5,AZ,5,R,ANDY BIGGS,ANDY BIGGS,"BIGGS, ANDY",H6AZ05083,C00610451,O,False,False,True,C,205184,0.6409516312428933,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,6,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_6_D_W_JOHN_WILLIAMSON,2016,House,AZ-6,AZ,6,D,W JOHN WILLIAMSON,W JOHN WILLIAMSON,"WILLIAMSON, WALTER JOHN",H2AZ05132,C00500199,C,False,True,False,C,122866,0.37869709410560837,probable_automatic,74.5,last_exact+first_initial+token_overlap+scope_same_race,0.0,4,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_6_R_DAVID_SCHWEIKERT,2016,House,AZ-6,AZ,6,R,DAVID SCHWEIKERT,DAVID SCHWEIKERT,"SCHWEIKERT, DAVID",H4AZ06045,C00540617,I,True,False,False,C,201578,0.6213029058943916,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_7_D_RUBEN_GALLEGO,2016,House,AZ-7,AZ,7,D,RUBEN GALLEGO,RUBEN GALLEGO,"GALLEGO, RUBEN",H4AZ07043,C00558627,I,True,False,False,C,119465,0.7522463809181984,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_7_R_EVE_NUNEZ,2016,House,AZ-7,AZ,7,R,EVE NUNEZ,EVE NUNEZ,"NUNEZ, EVANGELINE MARTINEZ",H6AZ07030,C00616003,C,False,True,False,C,39286,0.24737581149920346,probable_automatic,70.75,last_exact+first_initial+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_8_R_TRENT_FRANKS,2016,House,AZ-8,AZ,8,R,TRENT FRANKS,TRENT FRANKS,"FRANKS, TRENT",H4AZ04024,C00367110,I,True,False,False,C,204942,0.6854912349358299,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_9_D_KYRSTEN_SINEMA,2016,House,AZ-9,AZ,9,D,KYRSTEN SINEMA,KYRSTEN SINEMA,"SINEMA, KYRSTEN",H2AZ09019,C00508804,I,True,False,False,C,169055,0.6091918402058326,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_AZ_9_R_DAVE_GILES,2016,House,AZ-9,AZ,9,R,DAVE GILES,DAVE GILES,"GILES, DAVID VICTOR",H6AZ09010,C00572602,C,False,True,False,C,108350,0.3904406014983406,high_confidence_automatic,88.75,last_exact+first_match+scope_same_race,2.0,4,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_1_D_JIM_REED,2016,House,CA-1,CA,1,D,JIM REED,JIM REED,"REED, JAMES E",H6CA01194,C00609958,C,False,True,False,C,128588,0.4094689780789464,high_confidence_automatic,88.75,last_exact+first_match+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_1_R_DOUG_LAMALFA,2016,House,CA-1,CA,1,R,DOUG LAMALFA,DOUG LAMALFA,"LAMALFA, DOUG",H2CA02142,C00509422,I,True,False,False,C,185448,0.5905310219210537,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,6,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_10_D_MICHAEL_EGGMAN,2016,House,CA-10,CA,10,D,MICHAEL EGGMAN,MICHAEL EGGMAN,"EGGMAN, MICHAEL RAY",H4CA10075,C00543843,C,False,True,False,C,116470,0.48299542591264033,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_10_R_JEFF_DENHAM,2016,House,CA-10,CA,10,R,JEFF DENHAM,JEFF DENHAM,"DENHAM, JEFF",H0CA19173,C00473272,I,True,False,False,C,124671,0.5170045740873597,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_11_D_MARK_DESAULNIER,2016,House,CA-11,CA,11,D,MARK DESAULNIER,MARK DESAULNIER,"DESAULNIER, MARK",H0CA10073,C00554709,I,True,False,False,C,214868,0.7205282201409079,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_11_R_ROGER_ALLEN_PETERSEN,2016,House,CA-11,CA,11,R,ROGER ALLEN PETERSEN,ROGER ALLEN PETERSEN,"PETERSEN, ROGER",H6CA11169,C00608281,C,False,True,False,C,83341,0.2794717798590921,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_12_D_NANCY_PELOSI,2016,House,CA-12,CA,12,D,NANCY PELOSI,NANCY PELOSI,"PELOSI, NANCY",H8CA05035,C00213512,I,True,False,False,C,274035,0.8087326063539376,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_13_D_BARBARA_LEE,2016,House,CA-13,CA,13,D,BARBARA LEE,BARBARA LEE,"LEE, BARBARA",H8CA09060,C00331769,I,True,False,False,C,293117,0.9078455482220453,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_13_R_SUE_CARO,2016,House,CA-13,CA,13,R,SUE CARO,SUE CARO,"CARO, SUZANNE M",H6CA13140,C00603316,C,False,True,False,N,29754,0.09215445177795466,probable_automatic,70.75,last_exact+first_initial+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_14_D_JACKIE_SPEIER,2016,House,CA-14,CA,14,D,JACKIE SPEIER,JACKIE SPEIER,"SPEIER, JACKIE",H8CA12171,C00443705,I,True,False,False,C,231630,0.8086312651205982,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_14_R_ANGEL_CARDENAS,2016,House,CA-14,CA,14,R,ANGEL CARDENAS,ANGEL CARDENAS,"CARDENAS, ANGEL",H6CA14114,C00612390,C,False,True,False,N,54817,0.1913687348794018,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_15_D_ERIC_SWALWELL,2016,House,CA-15,CA,15,D,ERIC SWALWELL,ERIC SWALWELL,"SWALWELL, ERIC MICHAEL",H2CA15094,C00502294,I,True,False,False,C,198578,0.7376679532089883,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_15_R_DANNY_R_TURNER,2016,House,CA-15,CA,15,R,DANNY R TURNER,DANNY R TURNER,"TURNER, DANNY REID",H6CA15152,C00611855,C,False,True,False,N,70619,0.2623320467910118,high_confidence_automatic,92.5,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_16_D_JIM_COSTA,2016,House,CA-16,CA,16,D,JIM COSTA,JIM COSTA,"COSTA, JIM MR.",H4CA20082,C00391029,I,True,False,False,C,97473,0.5803484245873919,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_16_R_JOHNNY_M_TACHERRA,2016,House,CA-16,CA,16,R,JOHNNY M TACHERRA,JOHNNY M TACHERRA,"TACHERRA, JOHNNY",H2CA16100,C00547885,C,False,True,False,C,70483,0.41965157541260806,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_17_D_MICHAEL_M_HONDA,2016,House,CA-17,CA,17,D,MICHAEL M HONDA,MICHAEL M HONDA,"HONDA, MIKE",H0CA15148,C00351379,I,True,False,False,C,90924,0.3899104600500875,high_confidence_automatic,88.75,last_exact+first_match+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_17_D_RO_KHANNA,2016,House,CA-17,CA,17,D,RO KHANNA,RO KHANNA,"KHANNA, ROHIT",H4CA12055,C00503185,C,False,True,False,C,142268,0.6100895399499126,probable_automatic,72.0,last_exact+first_initial+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_18_D_ANNA_G_ESHOO,2016,House,CA-18,CA,18,D,ANNA G ESHOO,ANNA G ESHOO,"ESHOO, ANNA G.",H8CA12098,C00258475,I,True,False,False,C,230460,0.7114500046306301,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_18_R_RICHARD_B_FOX,2016,House,CA-18,CA,18,R,RICHARD B FOX,RICHARD B FOX,"FOX, RICHARD B",H4CA18094,C00605196,C,False,True,False,C,93470,0.2885499953693699,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_19_D_ZOE_LOFGREN,2016,House,CA-19,CA,19,D,ZOE LOFGREN,ZOE LOFGREN,"LOFGREN, ZOE",H4CA16049,C00289603,I,True,False,False,C,181802,0.7394443246848855,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_19_R_G_BURT_LANCASTER,2016,House,CA-19,CA,19,R,G BURT LANCASTER,G BURT LANCASTER,"LANCASTER, GORDON K CA",H6CA19121,C00614511,C,False,True,False,C,64061,0.26055567531511453,review_required,69.5,last_exact+first_initial+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_2_D_JARED_HUFFMAN,2016,House,CA-2,CA,2,D,JARED HUFFMAN,JARED HUFFMAN,"HUFFMAN, JARED",H2CA06259,C00536680,I,True,False,False,C,254194,0.7685009946608781,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,3,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2016_CA_2_R_DALE_K_MENSING,2016,House,CA-2,CA,2,R,DALE K MENSING,DALE K MENSING,"MENSING, DALE KENNETH",H4CA02098,C00543553,C,False,True,False,N,76572,0.2314990053391219,high_confidence_automatic,92.5,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
