race_id,party_code,mit_candidate_name,fec_candidate_name,fec_candidate_id,incumbent_challenger_status,match_method,match_score,second_best_score,candidate_count_considered,match_reason
KY-3,D,MORGAN MCGARVEY,"MCGARVEY, MORGAN",H2KY03206,O,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
KY-4,D,MATTHEW LEHMAN,"LEHMAN, MATTHEW",H2KY04212,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
KY-5,D,CONOR HALBLEIB,"HALBLEIB, CONOR",H2KY05177,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
LA-1,R,STEVE SCALISE,"SCALISE, STEVE MR",H0LA01087,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
LA-1,D,KATIE DARLING,"DARLING, KATIE DARLING",H2LA01109,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
LA-2,D,TROY A CARTER,"CARTER, TROY A. SR.",H2LA02149,C,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
LA-3,R,HOLDEN HOGGATT,"HOGGATT, ""HOLDEN""",H2LA03121,C,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
LA-3,D,LESSIE OLIVIA LEBLANC,"LEBLANC, LESSIE OLIVIA",H2LA03139,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
LA-5,R,JULIA LETLOW,"LETLOW, JULIA",H2LA05126,C,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
LA-5,D,WALTER EARL HUFF,"HUFF, WALTER EARL",H2LA05274,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
LA-6,R,GARRET GRAVES,"GRAVES, GARRET",H4LA06153,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
ME-2,R,BRUCE POLIQUIN,"POLIQUIN, BRUCE",H4ME02234,C,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
MS-2,D,BENNIE G THOMPSON,"THOMPSON, BENNIE G.",H4MS02068,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
MS-4,D,JOHNNY L DUPREE,"DUPREE, JOHNNY L.",H2MS04332,C,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
MO-1,D,CORI BUSH,"BUSH, CORI",H8MO01143,I,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
MO-4,R,MARK ALFORD,"ALFORD, MARK",H2MO04207,O,high_confidence_automatic,100.0,2.0,11,last_exact+first_match+token_overlap+scope_same_race
MO-4,D,JACK TRUMAN,"TRUMAN, JACK",H6MO07169,O,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
MO-5,R,JACOB TURK,"TURK, JACOB",H6MO05189,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
MO-5,D,EMANUEL CLEAVER,"CLEAVER II, EMANUEL",H4MO05234,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
MO-7,R,ERIC BURLISON,"BURLISON, ERIC",H2MO07143,O,high_confidence_automatic,100.0,2.0,10,last_exact+first_match+token_overlap+scope_same_race
MO-7,D,KRISTEN RADAKER-SHEAFER,"RADAKER-SHEAFER, KRISTEN",H2MO07200,O,high_confidence_automatic,100.0,0.0,3,last_exact+first_match+token_overlap+scope_same_race
MO-8,D,RANDI MCCALLIAN,"MCCALLIAN, RANDI MCCALLIAN",H2MO08091,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
MT-1,D,MONICA TRANEL,"TRANEL, MONICA",H2MT02092,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
MT-2,D,PENNY RONNING,"RONNING, PENNY",H2MT02134,C,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
NE-1,R,MIKE FLOOD,"FLOOD, MIKE",H2NE01118,I,high_confidence_automatic,100.0,1.0,5,last_exact+first_match+token_overlap+scope_same_race
NE-1,D,PATTY PANSING BROOKS,"PANSING BROOKS, PATTY",H2NE01092,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
NE-3,R,ADRIAN SMITH,"SMITH, ADRIAN",H6NE03115,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
NE-3,D,DAVID J ELSE,"ELSE, DAVID J",H0NE03217,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
NV-1,R,MARK ROBERTSON,"ROBERTSON, MARK",H2NV03153,C,high_confidence_automatic,100.0,2.0,8,last_exact+first_match+token_overlap+scope_same_race
NV-1,D,DINA TITUS,"TITUS, DINA",H8NV03036,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
NV-3,R,APRIL BECKER,"BECKER, APRIL",H2NV03161,C,high_confidence_automatic,100.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
NV-3,D,SUSIE LEE,"LEE, SUSIE",H6NV04020,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
NH-1,R,KAROLINE LEAVITT,"LEAVITT, KAROLINE",H2NH01270,C,high_confidence_automatic,100.0,2.0,11,last_exact+first_match+token_overlap+scope_same_race
NH-1,D,CHRIS PAPPAS,"PAPPAS, CHRIS",H8NH01210,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
NM-1,R,MICHELLE GARCIA HOLMES,"GARCIA HOLMES, MICHELLE",H0NM01189,C,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
NM-2,D,GABRIEL VASQUEZ,"VASQUEZ, GABRIEL",H2NM02191,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
NM-3,R,ALEXIS MARTINEZ JOHNSON,"MARTINEZ JOHNSON, ALEXIS",H2NM03173,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
NM-3,D,TERESA LEGER FERNANDEZ,"LEGER FERNANDEZ, TERESA",H0NM03102,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
OH-1,R,STEVE CHABOT,"CHABOT, STEVE",H8OH01043,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
OH-1,D,GREG LANDSMAN,"LANDSMAN, GREG",H2OH01194,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
OH-2,D,SAMANTHA MEADOWS,"MEADOWS, SAMANTHA",H2OH02127,C,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
OH-3,R,LEE R STAHLEY,"STAHLEY, LEE R.",H2OH03190,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
OH-3,D,JOYCE BEATTY,"BEATTY, JOYCE",H2OH03125,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
OH-6,R,BILL JOHNSON,"JOHNSON, BILL",H0OH06189,I,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
OH-7,R,MAX MILLER,"MILLER, MAX",H2OH16051,O,high_confidence_automatic,100.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
OH-7,D,MATTHEW DIEMER,"DIEMER, MATTHEW",H2OH16044,O,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
OH-8,R,WARREN DAVIDSON,"DAVIDSON, WARREN",H6OH08315,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
OH-8,D,VANESSA ENOCH,"ENOCH, VANESSA",H8OH08097,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
OH-9,R,J R MAJEWSKI,"MAJEWSKI, J R",H2OH09155,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
OH-9,D,MARCY KAPTUR,"KAPTUR, MARCY",H2OH09031,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
OH-10,D,DAVID ESRATI,"ESRATI, DAVID",H8OH03098,C,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
OH-11,R,ERIC J BREWER,"BREWER, ERIC J.",H2OH11326,C,high_confidence_automatic,100.0,1.0,3,last_exact+first_match+token_overlap+scope_same_race
OH-13,R,MADISON GESIOTTO GILBERT,"GILBERT, MADISON GESIOTTO",H2OH09163,C,high_confidence_automatic,100.0,2.0,8,last_exact+first_match+token_overlap+scope_same_race
OH-13,D,EMILIA SYKES,"SYKES, EMILIA",H2OH13264,O,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
OH-14,R,DAVID P JOYCE,"JOYCE, DAVID P",H2OH14064,I,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
OH-15,R,MIKE CAREY,"CAREY, MIKE",H2OH15228,I,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
OK-1,R,KEVIN HERN,"HERN, KEVIN",H8OK01157,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
OK-1,D,ADAM MARTIN,"MARTIN, ADAM",H2OK01176,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
OK-2,R,JOSH BRECHEEN,"BRECHEEN, JOSH",H2OK02315,O,high_confidence_automatic,100.0,2.0,15,last_exact+first_match+token_overlap+scope_same_race
OK-2,D,NAOMI ANDREWS,"ANDREWS, NAOMI",H2OK02307,O,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
OK-3,R,FRANK D LUCAS,"LUCAS, FRANK D.",H4OK06056,I,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
OK-3,D,JEREMIAH A ROSS,"ROSS, JEREMIAH A",H2OK03149,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
OK-4,R,TOM COLE,"COLE, TOM",H2OK04055,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
OK-4,D,MARY BRANNON,"BRANNON, MARY",H8OK04094,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
OK-5,D,JOSHUA HARRIS-TILL,"HARRIS-TILL, JOSHUA",H2OK05169,C,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
OR-1,D,SUZANNE BONAMICI,"BONAMICI, SUZANNE MS.",H2OR01133,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
OR-2,R,CLIFF BENTZ,"BENTZ, CLIFF",H0OR02127,I,high_confidence_automatic,100.0,0.0,4,last_exact+first_match+token_overlap+scope_same_race
OR-3,R,JOANNA HARBOUR,"HARBOUR, JOANNA",H0OR03174,C,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
OR-3,D,EARL BLUMENAUER,"BLUMENAUER, EARL",H6OR03064,I,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
OR-4,R,ALEK SKARLATOS,"SKARLATOS, ALEK",H0OR04107,O,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
OR-5,R,LORI CHAVEZ-DEREMER,"CHAVEZ-DEREMER, LORI",H2OR05209,C,high_confidence_automatic,100.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
OR-5,D,JAMIE MCLEOD-SKINNER,"MCLEOD-SKINNER, JAMIE",H8OR02161,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
OR-6,R,MIKE ERICKSON,"ERICKSON, MIKE",H2OR06124,O,high_confidence_automatic,100.0,2.0,7,last_exact+first_match+token_overlap+scope_same_race
OR-6,D,ANDREA SALINAS,"SALINAS, ANDREA",H2OR06066,O,high_confidence_automatic,100.0,2.0,12,last_exact+first_match+token_overlap+scope_same_race
RI-1,R,ALLEN R WATERS,"WATERS, ALLEN R",H2RI01202,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
RI-1,D,DAVID N CICILLINE,"CICILLINE, DAVID N",H0RI01073,I,high_confidence_automatic,100.0,,1,last_exact+first_match+token_overlap+scope_same_race
SC-1,R,NANCY MACE,"MACE, NANCY",H0SC01394,I,high_confidence_automatic,100.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
SC-1,D,ANNIE ANDREWS,"ANDREWS, ANNIE DR.",H2SC01127,C,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
SC-4,R,WILLIAM R TIMMONS IV,"TIMMONS, WILLIAM R IV",H8SC04250,I,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
SC-5,D,EVANGELINE HUNDLEY,"HUNDLEY, EVANGELINE",H2SC05102,C,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
SC-6,R,DUKE BUCKNER,"BUCKNER, DUKE",H2SC06142,C,high_confidence_automatic,100.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
SC-6,D,JAMES E CLYBURN,"CLYBURN, JAMES E.",H2SC02042,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
SC-7,R,RUSSELL FRY,"FRY, RUSSELL",H2SC07280,C,high_confidence_automatic,100.0,2.0,15,last_exact+first_match+token_overlap+scope_same_race
UT-2,R,CHRIS STEWART,"STEWART, CHRIS",H2UT02324,I,high_confidence_automatic,100.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
UT-4,R,BURGESS OWENS,"OWENS, BURGESS",H0UT04076,I,high_confidence_automatic,100.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
UT-4,D,DARLENE MCDONALD,"MCDONALD, DARLENE",H8UT04046,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
WV-2,D,BARRY LEE WENDELL,"WENDELL, BARRY LEE MR.",H2WV02191,C,high_confidence_automatic,100.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
