specification_id,baseline_type,baseline_label,environment_family,house_environment_multiplier,observations,mean_absolute_error,rmse,brier_score,winner_accuracy,mean_margin_error_dem_bias,absolute_margin_bias,actual_dem_seats,expected_dem_seats,expected_win_count_error,max_cycle_mae,mean_cycle_mae,max_cycle_rmse,max_cycle_absolute_bias,mean_cycle_seat_error,max_cycle_seat_error,mean_absolute_error_rank_pct,rmse_rank_pct,brier_score_rank_pct,absolute_margin_bias_rank_pct,expected_win_count_error_rank_pct,max_cycle_mae_rank_pct,max_cycle_absolute_bias_rank_pct,joint_performance_score
normalized_partisan_baseline_dem__production_composite__multiplier_0.73,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.73,1545,5.96796929655642,8.038888187620381,0.04512609613926614,0.9411003236245955,0.10522460349230453,0.10522460349230453,756.0,740.538085183221,15.461914816778972,8.762982049887826,6.065522330796086,10.942016151007891,2.4762891944473284,8.654944728517329,14.424169563336932,0.03571428571428571,0.017857142857142856,0.29464285714285715,0.0625,0.29464285714285715,0.21428571428571427,0.026785714285714284,0.13520408163265304
normalized_partisan_baseline_dem__production_composite__multiplier_0.74,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.74,1545,5.9686584227700115,8.038789143128556,0.04507873031723719,0.9411003236245955,0.13646829281269357,0.13646829281269357,756.0,741.0680040467604,14.931995953239607,8.763122919453043,6.066041917141007,10.94243278249837,2.410589194447327,8.664888643623023,14.134568136450866,0.05357142857142857,0.008928571428571428,0.2857142857142857,0.08035714285714286,0.2857142857142857,0.22321428571428573,0.008928571428571428,0.13520408163265304
normalized_partisan_baseline_dem__production_composite__multiplier_0.72,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.72,1545,5.96760706619396,8.039251109714472,0.04517497020861553,0.9411003236245955,0.07398091417191666,0.07398091417191666,756.0,740.0088531832195,15.991146816780542,8.762841180322608,6.0653222000022655,10.941602168710943,2.5419891944473276,8.644979697819323,14.713384267826825,0.017857142857142856,0.03571428571428571,0.30357142857142855,0.044642857142857144,0.30357142857142855,0.20535714285714285,0.044642857142857144,0.13647959183673466
normalized_partisan_baseline_dem__production_composite__multiplier_0.71,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.71,1545,5.967511998463216,8.039877873676328,0.04522534568162111,0.940453074433657,0.04273722485152768,0.04273722485152768,756.0,739.4803044404183,16.51969555958169,8.762700310757392,6.065378350770442,10.941190835908245,2.6076891944473286,8.634994132277612,15.002215216045613,0.008928571428571428,0.05357142857142857,0.3125,0.026785714285714284,0.3125,0.19642857142857142,0.0625,0.13903061224489796
normalized_partisan_baseline_dem__production_composite__multiplier_0.75,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.75,1545,5.969359488401079,8.038953985992366,0.04503287956276856,0.9411003236245955,0.16771198213308153,0.16771198213308153,756.0,741.5986085536713,14.401391446328716,8.76326378901826,6.066573032485929,10.942852062879792,2.4644676363194367,8.674812061368513,13.844581832278436,0.07142857142857142,0.026785714285714284,0.2767857142857143,0.09821428571428571,0.2767857142857143,0.23214285714285715,0.017857142857142856,0.14285714285714285
normalized_partisan_baseline_dem__production_composite__multiplier_0.70,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.7,1545,5.967712618797197,8.040768417807902,0.04527721569437762,0.9411003236245955,0.011493535531139586,0.011493535531139586,756.0,738.9524377995428,17.04756220045715,8.762559441192176,6.065719356549534,10.940782152898624,2.673389194447328,8.624987992348125,15.290662908022767,0.026785714285714284,0.07142857142857142,0.32142857142857145,0.008928571428571428,0.32142857142857145,0.1875,0.08035714285714286,0.14540816326530612
normalized_partisan_baseline_dem__production_composite__multiplier_0.76,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.76,1545,5.970161216250919,8.039382699979239,0.04498855067390179,0.9411003236245955,0.19895567145347035,0.19895567145347035,756.0,742.1298995926911,13.870100407308882,8.763404658583479,6.0672013287953765,10.943273991847686,2.5256676363194375,8.684715064995906,13.554210371518991,0.08928571428571429,0.044642857142857144,0.26785714285714285,0.11607142857142858,0.26785714285714285,0.24107142857142858,0.03571428571428571,0.15178571428571433
normalized_partisan_baseline_dem__production_composite__multiplier_0.69,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.69,1545,5.968151107742181,8.04192265447795,0.04533057336286911,0.9411003236245955,-0.019750153789249023,0.019750153789249023,756.0,738.4252520695627,17.574747930437297,8.762418571626956,6.066294145410049,10.940376119979037,2.739089194447329,8.614961240017259,15.578727864748032,0.044642857142857144,0.08928571428571429,0.33035714285714285,0.017857142857142856,0.33035714285714285,0.17857142857142858,0.09821428571428571,0.1556122448979592
normalized_partisan_baseline_dem__production_composite__multiplier_0.77,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.77,1545,5.971180423435385,8.040075242878663,0.04494575042567266,0.941747572815534,0.23019936077385822,0.23019936077385822,756.0,742.6618805407016,13.338119459298355,8.763545528148695,6.0680375072877375,10.94369856909571,2.5868676363194387,8.694597107828343,13.263450970982888,0.10714285714285714,0.0625,0.25892857142857145,0.13392857142857142,0.25892857142857145,0.25,0.05357142857142857,0.16071428571428573
normalized_partisan_baseline_dem__production_composite__multiplier_0.68,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.68,1545,5.968684240052861,8.043340470165138,0.04538541178386823,0.9411003236245955,-0.050993843109637116,0.050993843109637116,756.0,737.8987460242679,18.101253975732106,8.76227770206174,6.066961173336593,10.939972737444554,2.8047891944473275,8.693464838131689,15.86641062782985,0.0625,0.10714285714285714,0.3392857142857143,0.03571428571428571,0.3392857142857143,0.16964285714285715,0.11607142857142858,0.16709183673469388
