held_out_cycle,variant,uncertainty_spec,uncertainty_scale,training_bias_dem,mean_error_dem,mae,rmse,winner_accuracy,brier_score,log_loss,expected_dem_seats,actual_dem_seats,expected_seat_error,absolute_expected_seat_error
2016,uncorrected,current_scale_1_00,1.0,3.6374554460122592,6.385534910891913,10.972220000099998,14.186196970505819,0.8787061994609164,0.06542560247206806,0.3117948085499772,227.59298675446541,194,33.592986754465414,33.592986754465414
2016,loo_bias_corrected,current_scale_1_00,1.0,3.6374554460122592,2.7480794648796536,9.973959505672584,12.962448423544924,0.921832884097035,0.04498951252294287,0.19400723841491213,201.8977631916573,194,7.897763191657305,7.897763191657305
2016,uncorrected,compromise_scale_1_75,1.75,3.6374554460122592,6.385534910891913,10.972220000099998,14.186196970505819,0.8787061994609164,0.061047366626565375,0.20560359595566496,227.36105581660053,194,33.361055816600526,33.361055816600526
2016,loo_bias_corrected,compromise_scale_1_75,1.75,3.6374554460122592,2.7480794648796536,9.973959505672584,12.962448423544924,0.921832884097035,0.04319430740357909,0.14404188149152022,206.0158723203629,194,12.015872320362888,12.015872320362888
2018,uncorrected,current_scale_1_00,1.0,4.927134075300859,2.3659441385526714,5.980023166066667,7.681984855206737,0.9491094147582697,0.0423341997599995,0.23589188748296266,239.88887504721936,238,1.8888750472193578,1.8888750472193578
2018,loo_bias_corrected,current_scale_1_00,1.0,4.927134075300859,-2.5611899367481867,5.637332882787257,7.7443459078849335,0.9312977099236641,0.053534118178234585,0.33887373816378125,217.78334373376998,238,-20.216656266230018,20.216656266230018
2018,uncorrected,compromise_scale_1_75,1.75,4.927134075300859,2.3659441385526714,5.980023166066667,7.681984855206737,0.9491094147582697,0.04325055126328049,0.1645393864285362,242.77528342362436,238,4.775283423624359,4.775283423624359
2018,loo_bias_corrected,compromise_scale_1_75,1.75,4.927134075300859,-2.5611899367481867,5.637332882787257,7.7443459078849335,0.9312977099236641,0.04988321105512711,0.198062584528238,219.57533074756213,238,-18.424669252437866,18.424669252437866
2020,uncorrected,current_scale_1_00,1.0,3.831396041789175,5.587800969319437,6.827838738728774,8.66374786663777,0.9484029484029484,0.04019733224684308,0.3230018929632798,231.59685926844884,222,9.596859268448839,9.596859268448839
2020,loo_bias_corrected,current_scale_1_00,1.0,3.831396041789175,1.7564049275302613,5.127938826649551,6.849960999406921,0.9434889434889435,0.04855569350824827,0.26843263454376004,215.98436306416417,222,-6.015636935835829,6.015636935835829
2020,uncorrected,compromise_scale_1_75,1.75,3.831396041789175,5.587800969319437,6.827838738728774,8.66374786663777,0.9484029484029484,0.04181585185139093,0.18824581993737188,234.23785252240776,222,12.237852522407763,12.237852522407763
2020,loo_bias_corrected,compromise_scale_1_75,1.75,3.831396041789175,1.7564049275302613,5.127938826649551,6.849960999406921,0.9434889434889435,0.044782900115485205,0.16643278068007572,217.43587893983639,222,-4.564121060163615,4.564121060163615
2022,uncorrected,current_scale_1_00,1.0,4.759252342361324,2.90223873562625,5.15792078033075,6.782608443116198,0.9525,0.038942942088180985,0.1620489061346068,219.0345259559987,215,4.034525955998703,4.034525955998703
2022,loo_bias_corrected,current_scale_1_00,1.0,4.759252342361324,-1.857013606735074,4.864012385604421,6.4054107713448705,0.9425,0.04606807956626398,0.20953511660035237,200.86875659082187,215,-14.131243409178126,14.131243409178126
2022,uncorrected,compromise_scale_1_75,1.75,4.759252342361324,2.90223873562625,5.15792078033075,6.782608443116198,0.9525,0.03678361681436013,0.12116965751729131,218.38365982699867,215,3.3836598269986666,3.3836598269986666
2022,loo_bias_corrected,compromise_scale_1_75,1.75,4.759252342361324,-1.857013606735074,4.864012385604421,6.4054107713448705,0.9425,0.04388729445001757,0.1469190352480373,199.19101420882316,215,-15.808985791176838,15.808985791176838
