cycle,n_margin_races,mean_error_dem,median_error_dem,mae,rmse
2016,371,6.385534910891913,5.945862753,10.972220000099998,14.186196970505819
2018,393,2.3659441385526714,2.9709854829999998,5.980023166066667,7.681984855206737
2020,407,5.587800969319437,5.452946312999998,6.827838738728774,8.66374786663777
2022,400,2.90223873562625,2.8406453180000018,5.15792078033075,6.782608443116198
