held_out_cycle,specification,uncertainty_scale,marginal_normal_sd,training_selected_brier_scale,training_selected_log_loss_scale,brier_score,log_loss,expected_dem_seats,actual_dem_seats,expected_seat_error,absolute_expected_seat_error
2016,current_production,1.0,3.553167600887974,1.3500000000000005,2.200000000000001,0.06542560247206806,0.3117948085499772,227.59298675446547,194,33.59298675446547,33.59298675446547
2016,loo_selected_brier,1.3500000000000005,4.796776261198766,1.3500000000000005,2.200000000000001,0.06284624692620244,0.23756483181958757,227.10402764085703,194,33.104027640857026,33.104027640857026
2016,loo_selected_log_loss,2.200000000000001,7.816968721953546,1.3500000000000005,2.200000000000001,0.060300029098755634,0.19467813114580387,228.08355437245356,194,34.08355437245356,34.08355437245356
2016,pooled_best_brier,1.55,5.507409781376359,1.3500000000000005,2.200000000000001,0.061799084486030074,0.21759076860952917,227.16135950979185,194,33.16135950979185,33.16135950979185
2016,pooled_best_log_loss,2.25,7.994627101997941,1.3500000000000005,2.200000000000001,0.0602877090292462,0.1943343424332449,228.17656434497016,194,34.17656434497016,34.17656434497016
2016,canonical_fixed_6_5,,,1.3500000000000005,2.200000000000001,0.06167716760623851,0.20416968526086648,230.10471216042396,194,36.10471216042396,36.10471216042396
2018,current_production,1.0,3.553167600887974,1.7000000000000008,2.3000000000000016,0.0423341997599995,0.23589188748296266,239.88887504721947,238,1.8888750472194715,1.8888750472194715
2018,loo_selected_brier,1.7000000000000008,6.040384921509559,1.7000000000000008,2.3000000000000016,0.04309268104182984,0.1657294817181317,242.60149897919337,238,4.601498979193366,4.601498979193366
2018,loo_selected_log_loss,2.3000000000000016,8.172285482042346,1.7000000000000008,2.3000000000000016,0.04560181725262779,0.16252841569448473,244.52272211596818,238,6.522722115968179,6.522722115968179
2018,pooled_best_brier,1.55,5.507409781376359,1.7000000000000008,2.3000000000000016,0.04269050382444801,0.1709758948800875,242.06395110698102,238,4.063951106981023,4.063951106981023
2018,pooled_best_log_loss,2.25,7.994627101997941,1.7000000000000008,2.3000000000000016,0.04534998666294996,0.16213046149339583,244.3755028356968,238,6.375502835696807,6.375502835696807
2018,canonical_fixed_6_5,,,1.7000000000000008,2.3000000000000016,0.049747502663483524,0.1765910311129283,246.74356287985557,238,8.743562879855574,8.743562879855574
2020,current_production,1.0,3.553167600887974,1.7500000000000009,2.1000000000000014,0.04019733224684308,0.3230018929632798,231.5968592684489,222,9.596859268448895,9.596859268448895
2020,loo_selected_brier,1.7500000000000009,6.218043301553958,1.7500000000000009,2.1000000000000014,0.04181585185139094,0.18824581993737188,234.2378525224078,222,12.237852522407792,12.237852522407792
2020,loo_selected_log_loss,2.1000000000000014,7.46165196186475,1.7500000000000009,2.1000000000000014,0.04328606147536473,0.17524553690517425,235.40931057071987,222,13.409310570719867,13.409310570719867
2020,pooled_best_brier,1.55,5.507409781376359,1.7500000000000009,2.1000000000000014,0.04113896006517944,0.20338403765923985,233.54023268803465,222,11.54023268803465,11.54023268803465
2020,pooled_best_log_loss,2.25,7.994627101997941,1.7500000000000009,2.1000000000000014,0.04400377484795207,0.17289486182399377,235.88624781503972,222,13.886247815039724,13.886247815039724
2020,canonical_fixed_6_5,,,1.7500000000000009,2.1000000000000014,0.04808274731680806,0.17540379731520014,238.68800427255587,222,16.688004272555872,16.688004272555872
2022,current_production,1.0,3.553167600887974,1.4500000000000006,2.3000000000000016,0.038942942088180985,0.1620489061346068,219.03452595599873,215,4.034525955998731,4.034525955998731
2022,loo_selected_brier,1.4500000000000006,5.152093021287564,1.4500000000000006,2.3000000000000016,0.037206641900193876,0.126880643988809,218.6068223301744,215,3.6068223301743956,3.6068223301743956
2022,loo_selected_log_loss,2.3000000000000016,8.172285482042346,1.4500000000000006,2.3000000000000016,0.03730327446979529,0.12400034610609655,218.21020773340697,215,3.2102077334069747,3.2102077334069747
2022,pooled_best_brier,1.55,5.507409781376359,1.4500000000000006,2.3000000000000016,0.03700382080253507,0.12406910079657252,218.5232481780177,215,3.5232481780176954,3.5232481780176954
2022,pooled_best_log_loss,2.25,7.994627101997941,1.4500000000000006,2.3000000000000016,0.03719614666078028,0.12332528200001108,218.21311900290004,215,3.2131190029000436,3.2131190029000436
2022,canonical_fixed_6_5,,,1.4500000000000006,2.3000000000000016,0.040074289806559776,0.14324605274201363,219.01115059972827,215,4.011150599728268,4.011150599728268
