replay_spec,cycles,all_races,scored_races,winner_accuracy,mean_abs_margin_error,rmse_margin_error,mean_margin_error_dem_bias,brier_score,log_loss
canonical_fixed_6_5,4,1740,1545,0.9527508090614887,6.5596081600692635,8.606408099037209,4.014758907699425,0.04119663624051339,0.14987933801966122
production_election_day_v1,4,1740,1545,0.9527508090614887,6.5596081600692635,8.606408099037209,4.014758907699425,0.03808413745860255,0.13871820530189422
