uncertainty_scale,marginal_total_sd,brier_score,log_loss,mean_abs_expected_seat_error,mean_expected_seat_error_dem_bias,max_abs_expected_seat_error,best_brier,best_log_loss,best_seat_error
0.8,2.8425340807103794,0.04695194884984897,0.33321748376422955,12.132252411738264,12.132252411738264,34.41277356778724,False,False,True
0.8500000000000001,3.020192460754778,0.04669251714988714,0.3109452207160793,12.15867091898533,12.15867091898533,34.15854893493682,False,False,False
0.9000000000000001,3.197850840799177,0.0464567558335668,0.29102745361374366,12.192207023476634,12.192207023476634,33.93926579576868,False,False,False
0.9500000000000002,3.3755092208435755,0.0462429063461667,0.2724229344446357,12.232255056767023,12.232255056767023,33.751691399388164,False,False,False
1.0000000000000002,3.5531676008879747,0.04604962098270603,0.25667058486760136,12.278311756533142,12.278311756533142,33.59298675446547,False,False,False
1.0500000000000003,3.7308259809323734,0.04587585113382363,0.24324133348915417,12.3299403050163,12.3299403050163,33.460627549956996,False,False,False
1.1000000000000003,3.908484360976772,0.045720763773490596,0.23173288765849226,12.386743910211592,12.386743910211592,33.35233562544812,False,False,False
1.1500000000000004,4.086142741021171,0.045583679211425726,0.22182685524527548,12.448348276763817,12.448348276763817,33.26602683743744,False,False,False
1.2000000000000004,4.26380112106557,0.045464024703882513,0.21326888084766782,12.514391321071692,12.514391321071692,33.199774762462056,False,False,False
1.2500000000000004,4.441459501109969,0.04536129996439367,0.2058536981728795,12.584518305541891,12.584518305541891,33.15178716943211,False,False,False
1.3000000000000005,4.619117881154367,0.04527505171819984,0.19941411668414052,12.658380724903722,12.658380724903722,33.120391704908144,False,False,False
1.3500000000000005,4.796776261198766,0.045204855210090954,0.19381279679610083,12.735637549879101,12.735637549879101,33.104027640857026,False,False,False
1.4000000000000006,4.974434641243166,0.0451503010913976,0.18893603501982942,12.815957727602296,12.815957727602296,33.10124122502731,False,False,False
1.4500000000000006,5.152093021287564,0.04511098646556571,0.18468901503526694,12.89902311818738,12.89902311818738,33.1106828623835,False,False,False
1.5000000000000007,5.329751401331963,0.04508650912660265,0.18099214091368093,12.98453129762644,12.98453129762644,33.13110493434141,False,False,False
1.5500000000000007,5.507409781376362,0.04507646421891942,0.17777817831980686,13.072197870706304,13.072197870706304,33.16135950979188,True,False,False
1.6000000000000008,5.6850681614207605,0.045080442701236303,0.17499000547631766,13.16175810959654,13.16175810959654,33.20039553132119,False,False,False
1.6500000000000008,5.862726541465159,0.04509803112195541,0.17257882894198773,13.252967863544455,13.252967863544455,33.247255293841135,False,False,False
1.7000000000000008,6.040384921509559,0.045128812314880785,0.17050275708307133,13.345603775462955,13.345603775462955,33.30107019219071,False,False,False
1.7500000000000009,6.218043301553958,0.04517236670672781,0.16872565125731132,13.439462897407871,13.439462897407871,33.361055816600555,False,False,False
1.800000000000001,6.395701681598356,0.045228273995073065,0.16721619441316599,13.534361825657243,13.534361825657243,33.426506534043455,False,False,False
1.850000000000001,6.573360061642755,0.045296115010282856,0.16594713122301108,13.630135484244995,13.630135484244995,33.496789720486106,False,False,False
1.900000000000001,6.751018441687154,0.04537547361998816,0.16489464453140468,13.726635679764641,13.726635679764641,33.5713398129343,False,False,False
1.950000000000001,6.928676821731552,0.04546593857175392,0.16403784085984693,13.823729535482322,13.823729535482322,33.6496523383434,False,False,False
2.000000000000001,7.106335201775951,0.04556710520011993,0.16335832370650163,13.92129789359604,13.92129789359604,33.731278055025314,False,True,False
